,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.10201803937205507,0.16867098895461424,0.10573099275272542,0.14683333859347258
vocab_coverage,0.11868901986943067,0.20082260317036546,0.13309992976540772,0.1953572920187019
ave_readability,0.03775888471168737,0.04114335017773549,0.030235827173273926,0.03618471599155486
ave_readability2,0.03861245925205577,0.042044679266076725,0.0292574577683875,0.03453017295731526
length,1273.513,1462.263,866.768,1028.765
min,0.5672,0.6954301075268815,0.40910670837678054,0.49679888656924015
max,0.0,0.0,0.0,0.0
mean,0.037758884711687486,0.04114335017773563,0.030235827173274138,0.036184715991555004
std,0.08279392402477956,0.0997869864667309,0.06768209190727809,0.08041361669547505
q1,0.053516666666666525,0.05371303763440833,0.039954814042405085,0.045650661099512636
median,0.004499999999999992,0.0027889784946236525,0.0032325338894681924,0.004210160055671534
q3,0.000549999999999999,0.00038642473118279434,6.951685783802547e-05,0.0021920668058455113
FRE,25.18358000000005,31.30369000000003,20.900650000000027,26.154570000000007
SMOGI,3.312999999999999,6.14839999999999,2.249400000000001,2.6052000000000017
FKGL,4.359000000000005,5.1512,3.745300000000001,4.2297
CLI,7.01515000000001,9.28939000000002,6.323780000000003,8.299719999999995
ARI,8.434600000000005,10.37799999999999,6.768100000000004,8.503800000000005
DCRS,2.07939,2.03261,2.0756000000000006,2.447660000000003
LWF,4.829290442701802,5.3489584752239745,4.319533143284682,4.251930268545043
GFI,3.504769999999997,3.9562100000000022,2.8230500000000007,3.119770000000003
DW,20.715,25.203,14.383,17.847
TS,4.262,4.251,3.544,3.669
FH,18.578479999999992,22.808619999999998,15.559020000000002,18.920450000000013
SP,18.88553999999999,23.072889999999994,15.52723999999999,19.07345
GP,12.1879,15.306400000000004,10.01257000000001,13.051130000000002
CF,1.382199999999999,1.8458999999999985,1.4746999999999981,1.7488999999999997
NERF,2.9116540551247825,4.998088325281692,3.281657496695542,4.747073112465525
