,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.01923120945428086,0.04920008362699844,0.051816228063367095,0.05933530637388128
vocab_coverage,0.02494080641447869,0.06593855626637725,0.06294634850127503,0.07068018256230502
ave_readability,0.003223758206150782,0.003968844127423912,0.00501313797094929,0.005054160007482585
ave_readability2,0.0028909912775831113,0.0036385246989858347,0.0023688831804147574,0.002554265503098901
length,6412160.559,6745870.413,29022071.156,23905623.463
min,0.61772,0.8086648745519713,0.5073923870508716,0.5727938894856188
max,0.0,0.0,4.743270484999411e-05,4.296455424274981e-05
mean,0.0032237582061507776,0.003968844127423908,0.0050131379709492845,0.005054160007482583
std,0.013412679246462911,0.019694614548367913,0.0159942191196236,0.01777693940716071
q1,0.008024444444444452,0.008196684587813627,0.014213210008300737,0.010398317221625496
median,0.0008299999999999991,0.0004312275985663082,0.002806830309498399,0.0030087122568325576
q3,7.583333333333305e-05,4.6202956989246985e-05,0.0004565397841811929,0.001681883279627641
FRE,1949.5437656999998,2549.258573,25107.3258821,49247.282601999985
SMOGI,29.754080000000002,65.1583,41.988899999999994,49.43082
FKGL,76.41561999999999,69.27954000000001,2091.95226,2682.9404699999996
CLI,153.5217744,215.7090098,3539.5484700999996,5514.6050417999995
ARI,228.46711,255.77185,5809.20092,7675.61217
DCRS,10.2112022,10.136417600000001,66.2001274,67.23860210000001
LWF,76.48972497433718,84.08694352595633,135.68815015458043,168.67562577511546
GFI,57.966722399999995,36.70289,1890.5432867999996,2014.9258888
DW,1021.832,1201.86,639.793,686.622
TS,74.364,43.513,619.624,1134.855
FH,1115.6483747999998,1346.6917833999998,18994.9347696,31640.7703341
SP,1165.2845196,1363.4251758999997,18459.8707534,31946.7925221
GP,465.576981,595.5166125999999,11337.333885000002,17019.4468951
CF,5.57963,9.12344,36.36612,113.2185
NERF,15.988437054056986,34.870741181402344,1569.6521805541418,2518.4794559898673
