,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.019696745999443745,0.05212337341783414,0.017168581009474736,0.029354546960705656
vocab_coverage,0.025198822746388225,0.06805280772834504,0.029237606734647294,0.05254277988489764
ave_readability,0.0032762757680971834,0.004111161949657251,0.0016828597874916928,0.002058158132634003
ave_readability2,0.002931357249192519,0.003788642148147201,0.0012725875887999952,0.001447357484629344
length,6380466.209,6682526.463,4890727.004,5442970.322
min,0.61772,0.8086648745519713,0.37866222222222223,0.45416444444444437
max,0.0,0.0,0.0,0.0
mean,0.0032762757680971817,0.004111161949657249,0.0016828597874916993,0.0020581581326340084
std,0.013598371867181644,0.020055609479792662,0.008004062687605692,0.01027387608447365
q1,0.008088333333333341,0.0084655017921147,0.004303888888888895,0.004765277777777784
median,0.0008355555555555548,0.0004368279569892472,6.333333333333313e-05,5.44444444444443e-05
q3,7.583333333333305e-05,4.6202956989246985e-05,0.0,0.0
FRE,1967.6600193,2505.8721935999997,1314.1895156,1682.0308587000002
SMOGI,29.168599999999998,63.312180000000005,10.55637,14.67737
FKGL,76.85335,68.41363,34.00712,41.4153
CLI,155.2700557,211.91829609999996,117.54918560000002,156.0954666
ARI,232.06499,247.81278999999998,137.64969,185.58666
DCRS,10.1583059,10.2816753,4.1112981,5.7088473
LWF,75.02402623015266,81.72409450528056,51.135442427056745,52.14681878331383
GFI,58.0087342,36.6918646,16.9936238,20.381185300000002
DW,1021.832,1201.86,611.725,735.787
TS,76.643,42.422,25.054,25.91
FH,1125.2444166,1324.7850693999999,683.8033793,863.8461341999999
SP,1181.0125449000002,1343.1659404,725.4801354999998,918.3342421999998
GP,471.67378879999995,586.1673748,345.9342733,453.3436573
CF,5.61927,8.94886,3.4961100000000007,4.48808
NERF,15.272458957847414,31.714532579413845,13.641951962397018,22.7355368688065
