,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6289283581060056
vocab_coverage,0.614961775932746
ave_readability,4.918980548293243
ave_readability2,4.912975539083689
length,1803.109
min,3.7429333333333332
max,5.0
mean,4.918980548293243
std,0.20819569484965791
q1,4.9516
median,4.9996
q3,5.0
FRE,43.823769999999996
SMOGI,11.336799999999998
FKGL,11.084900000000001
CLI,16.49839
ARI,18.534699999999997
DCRS,9.738869999999999
LWF,9.802806026940521
GFI,9.16598
DW,34.737
TS,10.672
FH,86.47238
SP,82.93244
GP,31.891150000000003
CF,3.5429
NERF,7.119607693224359
