,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.34543628003000765,0.032326176606219996,0.24965371191381167,0.1809744209911352
vocab_coverage,0.41887899241028703,0.07135301624166532,0.29310866939590213,0.2174751346445789
ave_readability,0.3371864005270711,0.14515050707717897,0.2813721072960374,0.22513482496022222
ave_readability2,0.21960911202590683,0.11457138976080163,0.24863587001789728,0.24673122642538678
length,0.20331662964776673,0.056111852808006554,-0.11269369759856189,-0.05277230140783839
min,0.20307709654470923,0.10691918088844313,0.2453081536465856,0.1971378938478634
max,,,,
mean,0.3372707730903035,0.14517440646422733,0.28130619053969114,0.22485315521720908
std,0.30543621283748684,0.1514802399838029,0.2733219426432636,0.1927015308784225
q1,0.2849419062433839,0.10435940320922431,0.193286883610274,0.1418149372710231
median,0.03599713465958862,-0.013828764111056139,-0.03576437229371598,-0.03507289948058682
q3,,,,
FRE,0.42753735788760905,0.07111870609865872,0.19192229576944522,0.10198111564271811
SMOGI,0.2650309906890334,0.06780222024833282,0.1730635469273506,0.10909418396929581
FKGL,0.38717821908219846,0.07177723681600512,0.19859822598781357,0.12004470945262719
CLI,0.47234194457037826,0.05839750542973789,0.20029497067152557,0.10036711027050509
ARI,0.35220688125458754,0.025870335412644142,0.12854177941966854,0.060765366270056194
DCRS,0.32478908740171236,0.0631761113651378,0.058651007029757236,0.023957431018754832
LWF,0.30135965094685147,0.07940047095622464,0.23870086820860387,0.09487079634202195
GFI,0.3477660214736181,0.08523394177503286,0.21845832997420567,0.13165514811176782
DW,0.26142344985080795,0.11832340374469467,0.18612883070765338,0.19510775927850885
TS,0.27896932618583836,0.04789518082271578,0.12369801787866853,0.0549804338161731
FH,0.4146209079598439,0.07030903092237745,0.1918595626600659,0.10694177093813168
SP,0.42417886122915494,0.07180807550945881,0.2158645124087743,0.08162932052876588
GP,0.44354979855085125,0.044331334143020144,0.2156175110929958,0.09450686029842043
CF,0.4471954692668192,0.09386954175867059,0.25695848057629667,0.14833525571248973
NERF,0.24811129485562874,-0.0032010577484386698,0.09346767354888466,0.07603482688789052
