,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.10518884863570505,0.1799648312340232,0.1326390319847187,0.17902910898368532
vocab_coverage,0.12130723287609738,0.21408958060750063,0.15656767246522088,0.2234179199515458
ave_readability,0.03903436392259054,0.04386997116151801,0.042558924524791646,0.04514228810467999
ave_readability2,0.03955207194008648,0.04404586692490191,0.03786039912986493,0.04165698664848258
length,1243.833,1405.247,3890.356,3151.549
min,0.569,0.6967741935483871,0.5408411539798402,0.6356358483882395
max,0.0,0.0,0.0009037191518943349,0.0012752391073326242
mean,0.03903436392259053,0.043869971161517994,0.04255892452479165,0.04514228810468001
std,0.0854851740178641,0.1043243705958571,0.09532789251116745,0.10738441794091938
q1,0.053300000000000014,0.05631720430107527,0.05005213764337852,0.050354233085370154
median,0.004699999999999992,0.0029233870967741893,0.004414320472714628,0.0032235210768685766
q3,0.000549999999999999,0.00038642473118279434,0.0013555787278415013,0.0017003188097768319
FRE,25.87793,32.89244,53.373760000000004,59.1446
SMOGI,3.5262,6.29,3.6210999999999998,4.708799999999999
FKGL,4.575,5.5506,11.931500000000002,12.9326
CLI,7.205679999999999,9.5999,12.805309999999999,14.61342
ARI,8.7275,11.171700000000001,25.765,27.8945
DCRS,2.10432,2.1217799999999998,5.86102,6.11207
LWF,5.570793091579417,6.203120692147922,5.87442699715199,6.561688950407714
GFI,3.65186,4.145519999999999,9.58125,9.88309
DW,19.856,23.558,18.352,21.53
TS,4.398,4.517,7.441,7.573
FH,19.190160000000002,24.152260000000002,43.079910000000005,47.44161
SP,19.59676,24.477330000000002,42.11064,46.357679999999995
GP,12.504700000000001,16.01782,25.63148,28.357160000000004
CF,1.4206999999999999,1.9212,2.0126,2.3339000000000003
NERF,2.8949988845152066,4.782030113744171,8.224663171927306,9.487505108996356
