,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.495769729593831
vocab_coverage,0.5204930860788577
ave_readability,4.926146134771338
ave_readability2,4.916224215349316
length,892.326
min,3.973863636363636
max,4.998958333333333
mean,4.926146134771339
std,0.1807781204730439
q1,4.951515151515168
median,4.9984375000000005
q3,4.998816287878788
FRE,97.14308999999945
SMOGI,7.057200000000002
FKGL,2.8072000000000163
CLI,3.681390000000013
ARI,10.098499999999998
DCRS,6.659149999999995
LWF,6.854462984805012
GFI,7.067169999999989
DW,17.153
TS,7.053
FH,125.26530999999936
SP,67.48203000000002
GP,28.77373
CF,1.4910000000000008
NERF,1.382279140338468
