,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6329322867813862
vocab_coverage,0.6511295950309076
ave_readability,4.927833919307835
ave_readability2,4.9171684378243725
length,6342.817
min,3.9571182350913476
max,5.0
mean,4.927833919307835
std,0.1750703272863491
q1,4.946053085143054
median,4.99751809720786
q3,4.999379524301965
FRE,21.653779999999998
SMOGI,10.438600000000001
FKGL,15.219800000000003
CLI,24.509880000000006
ARI,39.524699999999996
DCRS,4.58562
LWF,9.3106371205188
GFI,8.99243
DW,24.599
TS,13.611
FH,69.48464999999999
SP,58.81791
GP,13.81926
CF,4.6279
NERF,1.5915574133470263
