,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.105188848635705,0.17996483123402338,0.0895367188000206,0.1481355628359635
vocab_coverage,0.12130723287609733,0.21408958060750038,0.12124387416457873,0.2031631764129145
ave_readability,0.03903436392259061,0.043869971161517966,0.029827089667271118,0.037369289465605436
ave_readability2,0.039552071940086524,0.044045866924901984,0.02813074020027759,0.03365952389125068
length,1243.833,1405.247,1199.339,1310.051
min,0.5690000000000002,0.6967741935483868,0.41514848181514763,0.5351351351351338
max,0.0,0.0,0.0,0.0
mean,0.03903436392259054,0.043869971161518126,0.029827089667271166,0.037369289465605714
std,0.08548517401786405,0.10432437059585731,0.06861802806105773,0.08699477722704034
q1,0.05329999999999995,0.05631720430107497,0.03950617283950606,0.04662996329662966
median,0.004699999999999992,0.0029233870967741893,0.0015348682015348663,0.0015348682015348663
q3,0.000549999999999999,0.00038642473118279434,0.0003336670003336667,0.0003336670003336667
FRE,25.87793000000001,32.89243999999999,22.859939999999984,28.423029999999958
SMOGI,3.5261999999999944,6.289999999999992,2.291699999999996,3.0301000000000005
FKGL,4.575000000000004,5.550599999999995,4.251699999999999,4.762799999999999
CLI,7.205680000000005,9.599900000000005,6.611459999999997,8.787769999999991
ARI,8.727499999999992,11.171700000000007,8.1082,10.093600000000006
DCRS,2.1043200000000004,2.1217800000000007,1.8833599999999977,2.3125700000000036
LWF,5.570793091579419,6.203120692147924,4.662260552927591,4.945603499360241
GFI,3.6518600000000014,4.145520000000004,3.2619500000000032,3.5389699999999955
DW,19.856,23.558,13.598,17.42
TS,4.398,4.517,3.93,4.021
FH,19.190160000000024,24.152259999999977,17.23888999999997,20.745819999999988
SP,19.596760000000007,24.477330000000016,17.485899999999997,21.191279999999978
GP,12.504700000000017,16.01782,11.769509999999991,15.08559000000002
CF,1.4206999999999992,1.9211999999999978,1.1228999999999987,1.4379000000000015
NERF,2.8949988845152084,4.782030113744169,4.146650142356217,5.861698485915153
