QuestionId,AnswerId,vocab_ratios,vocab_coverage,ave_readability,ave_readability2,length,min,max,mean,std,q1,median,q3,FRE,SMOGI,FKGL,CLI,ARI,DCRS,LWF,GFI,DW,TS,FH,SP,GP,CF,NERF
76378346,76378431,0.7083333333333334,0.7297297297297297,4.88148148148148,4.896078431372549,487,4.0,5.0,4.881481481481482,0.21379066206906389,4.766666666666667,5.0,5.0,46.84,11.2,8.6,10.4,11.0,9.82,4.888888888888889,8.92,16,10th and 11th grade,91.09,90.25,42.34,2.5,4.518903094292654
76378408,76378435,0.7216494845360825,0.7854406130268199,4.878373983739836,4.931428571428573,1607,3.6666666666666665,5.0,4.878373983739837,0.33736354017460657,5.0,5.0,5.0,94.45,6.9,2.7,5.49,6.7,7.26,7.833333333333334,5.26,21,6th and 7th grade,123.93,118.88,51.44,0.7,3.9851040895910224
76378340,76378439,0.4666666666666667,0.4675324675324675,4.877777777777779,4.873015873015873,1625,4.0,5.0,4.877777777777777,0.26666666666666666,4.933333333333334,5.0,5.0,-61.83,11.5,23.4,49.82,44.1,13.58,4.4,12.12,45,11th and 12th grade,14.41,4.96,-24.66,8.7,6.789842190641396
76378344,76378496,0.4807692307692308,0.4891304347826087,4.900740740740741,4.874666666666667,751,3.8666666666666663,5.0,4.9007407407407415,0.21846703725020725,4.866666666666666,5.0,5.0,25.46,13.0,12.7,20.75,24.1,12.78,10.25,9.24,26,12th and 13th grade,74.6,68.5,25.93,4.8,6.805982854021167
76378323,76378505,0.5279187817258884,0.5856236786469344,4.915042117930206,4.9108974358974375,4093,3.8,5.0,4.915042117930205,0.2311188716721492,4.933333333333334,5.0,5.0,13.31,11.2,13.2,29.7,29.3,10.62,3.5294117647058822,7.05,88,10th and 11th grade,67.39,60.91,9.62,4.7,9.43796984824585
76378468,76378523,0.7814569536423841,0.7966666666666666,4.953695955369594,4.931073446327684,1496,3.6,5.0,4.953695955369596,0.13627869063965986,5.0,5.0,5.0,71.68,9.5,9.4,5.75,9.9,7.47,12.75,11.27,29,9th and 10th grade,103.54,103.84,48.55,1.9,3.798611283747472
76378419,76378558,0.6013986013986014,0.6349693251533742,4.867954911433173,4.889147286821705,2563,3.066666666666667,5.0,4.867954911433173,0.309447682280878,4.933333333333334,5.0,5.0,55.5,9.3,7.4,18.22,18.4,8.82,3.9230769230769234,5.12,51,8th and 9th grade,97.29,92.64,28.79,2.2,9.037649108402974
76383950,76384028,0.7346938775510204,0.7313432835820896,4.968707482993198,4.966666666666667,520,4.733333333333333,5.0,4.968707482993198,0.06612300887196114,4.933333333333334,5.0,5.0,35.57,13.0,12.9,15.14,18.4,9.64,14.0,12.48,13,12th and 13th grade,79.77,75.81,34.45,4.3,3.444726984198504
76380624,76380646,0.625,0.5419354838709678,4.896031746031746,4.888484848484849,1142,3.733333333333333,5.0,4.8960317460317455,0.1908907525666707,4.8,5.0,5.0,36.35,10.7,10.6,17.26,15.3,10.05,5.636363636363637,8.64,32,10th and 11th grade,83.05,76.11,31.62,4.0,6.352113076125592
76380600,76380785,0.6138613861386139,0.5376344086021505,4.920000000000001,4.890322580645163,1800,3.066666666666667,5.0,4.92,0.22705848487901872,4.933333333333334,5.0,5.0,30.12,11.5,10.9,23.79,22.3,10.08,4.0,8.34,43,10th and 11th grade,79.29,73.61,19.97,3.7,9.023390771107138
