,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.3450504079144552,0.03094254027998341,0.24537076608666944,0.167013444338713
vocab_coverage,0.4199226359741189,0.07198090573776134,0.27602444639310947,0.1736809646559326
ave_readability,0.33835872552991086,0.14535504210953337,0.3177340659606935,0.2849620977251611
ave_readability2,0.21952493845646817,0.11415654555970216,0.21646499827139867,0.2020086476055225
length,0.20331662964776673,0.056111852808006554,0.474761336124466,0.4372688421459891
min,0.20307709654470923,0.10691918088844313,0.22578316809932525,0.20307864335900488
max,,,,
mean,0.3383419404725801,0.14544075439426735,0.3177189929573021,0.2849271840818453
std,0.30535487074565165,0.15157766038381082,0.3114089283431552,0.26589134589134594
q1,0.29145193828718663,0.1148896576343288,0.28794641891221107,0.27857879799384083
median,0.027866504874792353,-0.015696223648179367,-0.0031797729117389534,-0.0031797729117389534
q3,,,,
FRE,0.4282009898911455,0.06959353240696191,0.2755672017259866,0.20090185950295072
SMOGI,0.27287966468790914,0.06846316923830792,0.26621000074002416,0.22758599044494435
FKGL,0.38896037537418976,0.07120945069306102,0.23062745683393604,0.14688975477960325
CLI,0.47146653414147327,0.05670515972709852,0.3061920992984597,0.21684951312282738
ARI,0.35236401460925065,0.026217578700512202,0.14015645453662096,0.0491044882076947
DCRS,0.32443750469863275,0.0638928867949718,0.07699879967076886,0.0068167094517233824
LWF,0.30152245235199554,0.0810746058862822,0.20302988410880163,0.17403512176792263
GFI,0.34985664921615955,0.08778955422318455,0.24331369894746893,0.15903832337097454
DW,0.26142344985080795,0.11832340374469467,0.498786337706661,0.44900847654939413
TS,0.25494350819441075,0.023463157803080968,0.1274103919800358,0.07981962102875667
FH,0.41563003306937685,0.06905899292731232,0.254256258079586,0.17853470390069706
SP,0.4214112169572195,0.06937592979083329,0.2674049229696945,0.18696943407469604
GP,0.4423406423474144,0.043945850093266715,0.2570796544310648,0.1669826425343904
CF,0.44682283822148566,0.09172654084679377,0.32152896635705314,0.24476147691464673
NERF,0.2517496805049295,-0.0035767961884283885,0.11783603783603784,0.07145414345414346
