,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.34492325629408344,0.031927929940396484,0.47887104582825407,0.20045667454783456
vocab_coverage,0.4138761537795672,0.06800376101624171,0.40343795648458464,0.1944327820043267
ave_readability,0.33689247131997657,0.144898363408188,0.49096270168530726,0.351680754185106
ave_readability2,0.22115524274610318,0.1145955570631413,0.3654315744755459,0.2501921118679493
length,0.20331662964776673,0.056111852808006554,0.19125278960863826,-0.002704977624490245
min,0.20322299781888456,0.10666542282061989,0.3728914418373116,0.2650751960243774
max,,,,
mean,0.3369197805045026,0.14504643351644225,0.49092207902444185,0.35165823024112053
std,0.3065574941034134,0.15204799501153363,0.5020847380847381,0.3572177869252017
q1,0.28843540888926944,0.11302068507465421,0.3475019818983896,0.26756859063004373
median,0.0411559627577507,-0.012796453755033271,-0.01371674398969033,-0.013178516171481013
q3,,,,
FRE,0.4263204037423694,0.06606834824555957,0.5112913320217466,0.28951291250465966
SMOGI,0.2745559648838505,0.0719778733300166,0.41464390938427637,0.24969960445197745
FKGL,0.3860705819541602,0.0681144868945126,0.431947307742904,0.24803895188485436
CLI,0.47374020159782043,0.05842559715104642,0.5344855345147275,0.2980040446863492
ARI,0.3543345830642611,0.02989232123401479,0.41136740919707876,0.18781701288391725
DCRS,0.32068443730248375,0.06385699616421191,0.27421369051421873,0.16182527708130987
LWF,0.29767466008309373,0.08503678363979279,0.30720360548153386,0.20927610146094686
GFI,0.3465328274040892,0.08937067256802553,0.35704508956877834,0.19509021358517442
DW,0.2629023949241971,0.11901915383436493,0.31805018939466634,0.09413765130461166
TS,0.27388156630115695,0.05265711041633851,0.28796772198105924,0.17779159955286594
FH,0.41311665711793893,0.0642251298613635,0.4871576100945013,0.27352566187719957
SP,0.4252145247472004,0.07316043238436509,0.5001514162686126,0.28211994433249826
GP,0.44617708613284085,0.046709179479978755,0.5163603654405964,0.2754944601974022
CF,0.4466861193396672,0.0929726822441577,0.5229341144974851,0.3219959735972476
NERF,0.24555492029158502,-0.00926569085012412,0.3428576228576229,0.14563071763071764
