,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.4417420206555036
vocab_coverage,0.45978119673529205
ave_readability,4.922272530799749
ave_readability2,4.90705133528431
length,940.563
min,3.97798941798942
max,4.998941798941798
mean,4.922272530799749
std,0.17976290062081404
q1,4.940793650793661
median,4.996296296296296
q3,4.998015873015873
FRE,104.29380999999908
SMOGI,7.022099999999994
FKGL,1.6647999999999903
CLI,3.3447900000000157
ARI,11.049299999999999
DCRS,6.188510000000001
LWF,7.239082480019982
GFI,6.9823900000000085
DW,18.259
TS,7.144
FH,130.49941999999908
SP,53.42274999999999
GP,21.69622000000003
CF,1.8960000000000017
NERF,1.1239282320796735
