,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.34507167075991874,0.03123183480783321,0.43901324170107403,0.22567075128051786
vocab_coverage,0.414328533088654,0.06818781775954379,0.4882343714036757,0.2662907719638412
ave_readability,0.335901172204591,0.14505872373663917,0.49802806609621303,0.36260285659343644
ave_readability2,0.21982184062465537,0.1141269289292977,0.41146578710136655,0.30713049079145965
length,0.20331662964776673,0.056111852808006554,0.45352853881707056,0.1706603424217175
min,0.20322299781888456,0.10666542282061989,0.3491570151683325,0.27144589845761014
max,,,,
mean,0.33589907497807514,0.14524605486694284,0.4979646456647514,0.3625495095573581
std,0.3064443939757234,0.15193795605750574,0.46574080713802957,0.33590011190011193
q1,0.2632039464305018,0.08522671190608404,0.43633617879386744,0.294553850579944
median,0.0472737590370219,-0.011675591444616133,-0.002458100804154769,-0.002458100804154769
q3,,,,
FRE,0.4227804518706151,0.06854654549478764,0.5602522542771935,0.31540012551760277
SMOGI,0.2745559648838505,0.0719778733300166,0.4996026044597662,0.35845786405869334
FKGL,0.383874427016929,0.06611174185783393,0.49198280123149324,0.3095192697643257
CLI,0.47317885785446057,0.05893689007466869,0.5964204166418869,0.35656344471943147
ARI,0.35444417602391154,0.029674275844258538,0.4791717644715191,0.2692840039706996
DCRS,0.3221225237527889,0.06335199932027592,0.30830877730373296,0.16017457584161962
LWF,0.30043190427389826,0.08523003716030537,0.3459423718852891,0.2689737249512651
GFI,0.346821189436018,0.08984716406590001,0.4331127746913322,0.27690728117219576
DW,0.2623649857166233,0.11865496370294666,0.5087191141020838,0.28337972427407676
TS,0.2852983600314456,0.04520060228262305,0.3112985245276508,0.21288890783572567
FH,0.40966112842751395,0.06495005931607893,0.5379190653430355,0.3125957661528118
SP,0.4253785339567737,0.07317023458399322,0.5490229244370194,0.32796501532679856
GP,0.4461324467925549,0.04701173826078944,0.5698213455666343,0.33083821498038857
CF,0.44689430074791964,0.09384103699781103,0.5959868296229347,0.3715586034223669
NERF,0.24541893615519295,-0.00913147669295934,0.3914188394188394,0.10003282003282003
