,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.660647182309104
vocab_coverage,0.6513485099251153
ave_readability,4.908809120108006
ave_readability2,4.899788933141328
length,6479.682
min,3.692333333333333
max,5.0
mean,4.908809120108006
std,0.20109427615921363
q1,4.91515
median,4.997833333333334
q3,5.0
FRE,20.991310000000002
SMOGI,11.2924
FKGL,13.7203
CLI,24.55736
ARI,24.4558
DCRS,6.07324
LWF,9.904225520953077
GFI,7.05375
DW,54.468
TS,11.35
FH,70.94076999999999
SP,66.56895000000002
GP,18.92176
CF,4.8922
NERF,3.22621044693044
