,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.5985781665399732
vocab_coverage,0.611205995184366
ave_readability,4.9275973776222255
ave_readability2,4.923474022932867
length,5583.394
min,4.335815991237679
max,4.996787148594378
mean,4.927597377622226
std,0.13457508766109594
q1,4.918309602044542
median,4.980321285140562
q3,4.9935925520262865
FRE,-102.31738
SMOGI,6.9999
FKGL,49.8105
CLI,120.81483999999999
ARI,159.41190000000003
DCRS,8.25343
LWF,18.35930585119927
GFI,36.882349999999995
DW,12.744
TS,31.84
FH,-39.34007
SP,-49.50727
GP,-172.93484999999998
CF,7.030600000000001
NERF,60.37133072650473
