QuestionId,AnswerId,vocab_ratios,vocab_coverage,ave_readability,ave_readability2,length,min,max,mean,std,q1,median,q3,FRE,SMOGI,FKGL,CLI,ARI,DCRS,LWF,GFI,DW,TS,FH,SP,GP,CF,NERF
76378346,76378431,0.0,0.0,,NaN,1,,,,,,,,206.84,0.0,-15.7,-15.81,0.0,0.0,-0.5,0.0,0,-1th and 0th grade,206.84,0.0,0.0,0.0,-3.0233
76378408,76378435,0.7083333333333334,0.7461928934010152,4.850340136054422,4.934640522875817,1409,3.6666666666666665,5.0,4.85034013605442,0.36486606633585206,4.933333333333334,5.0,5.0,86.1,7.7,3.9,7.11,9.8,8.0,7.7142857142857135,5.57,16,7th and 8th grade,118.03,117.02,48.71,0.9,3.8602355636539896
76378340,76378439,0.6666666666666666,0.7377049180327869,4.968888888888889,4.95,380,4.733333333333333,5.0,4.968888888888889,0.07516237566794562,5.0,5.0,5.0,58.45,0.0,12.4,11.85,18.4,10.99,18.5,14.51,13,11th and 12th grade,92.75,92.86,37.2,2.5,0.6609646322885894
76378344,76378496,0.6391752577319587,0.6586826347305389,4.9266666666666685,4.91505376344086,1134,3.8666666666666663,5.0,4.926666666666668,0.17336829484241248,4.933333333333334,5.0,5.0,58.99,10.3,8.1,12.75,14.2,10.37,5.111111111111111,7.91,35,7th and 8th grade,98.29,93.72,39.18,2.9,6.357185494416086
76378323,76378505,0.5615384615384615,0.6212121212121212,4.909756097560976,4.920547945205481,1921,3.8,5.0,4.909756097560973,0.23382571769772836,4.933333333333334,5.0,5.0,44.91,9.4,9.4,21.25,23.0,12.25,8.833333333333334,6.12,46,8th and 9th grade,89.15,87.16,24.49,3.1,9.969687383106237
76378468,76378523,0.0,0.0,,NaN,1,,,,,,,,206.84,0.0,-15.7,-15.81,0.0,0.0,-0.5,0.0,0,-1th and 0th grade,206.84,0.0,0.0,0.0,-3.0233
76378419,76378558,0.0,0.0,,NaN,15,,,,,,,,-47.99,0.0,20.2,30.0,45.0,35.27,0.5,0.4,1,-1th and 0th grade,25.82,18.94,-31.26,-9.3,-1.0850328337351574
76383950,76384028,0.6805555555555556,0.7517241379310344,4.9308868501529055,4.872108843537415,853,3.8,5.0,4.930886850152906,0.1794604225514686,4.933333333333334,5.0,5.0,69.89,9.4,6.0,9.95,7.7,8.22,4.545454545454546,6.55,24,7th and 8th grade,106.74,102.34,43.71,2.0,2.8993981059436065
76380624,76380646,0.0,0.0,,NaN,1,,,,,,,,206.84,0.0,-15.7,-15.81,0.0,0.0,-0.5,0.0,0,-1th and 0th grade,206.84,0.0,0.0,0.0,-3.0233
76380600,76380785,0.6428571428571429,0.6846846846846847,4.923684210526315,4.901851851851853,880,4.466666666666667,5.0,4.923684210526319,0.1137885323816496,4.866666666666666,4.966666666666667,5.0,42.98,12.8,10.1,15.64,15.4,9.41,7.875,9.61,22,9th and 10th grade,87.21,84.7,34.12,3.5,6.852113646552084
76378487,76378586,0.0,0.0,,NaN,13,,,,,,,,-47.99,0.0,20.2,24.2,35.6,19.48,0.5,40.4,1,19th and 20th grade,25.82,18.94,-21.56,-9.3,-2.257860918333561
76380579,76380826,0.0,0.0,,NaN,9,,,,,,,,36.62,0.0,8.4,1.0,16.8,19.48,-0.5,0.4,1,-1th and 0th grade,85.82,81.24,17.25,-14.2,-2.312405068333561
76383957,76384041,0.0,0.0,,NaN,1,,,,,,,,206.84,0.0,-15.7,-15.81,0.0,0.0,-0.5,0.0,0,-1th and 0th grade,206.84,0.0,0.0,0.0,-3.0233
76383902,76384109,0.6153846153846154,0.5801980198019802,4.931968145620022,4.900641025641027,3657,3.8,5.0,4.931968145620022,0.2043841488222883,5.0,5.0,5.0,35.0,15.0,15.2,14.51,21.8,8.26,13.2,12.85,56,14th and 15th grade,76.69,74.2,32.82,4.1,5.359519051796013
76378480,76378588,0.8448275862068966,0.911504424778761,4.937864077669904,4.9156462585034015,633,4.2,5.0,4.9378640776699045,0.127801807160422,4.933333333333334,5.0,5.0,74.93,10.4,8.2,7.95,11.2,7.78,11.4,10.12,12,7th and 8th grade,106.81,104.48,45.43,2.0,0.8742500962133111
76384080,76384128,0.7941176470588235,0.7936507936507936,4.8933333333333335,4.9111111111111105,447,4.533333333333333,5.0,4.8933333333333335,0.1643843734125061,4.866666666666666,5.0,5.0,52.46,9.9,8.5,12.56,13.8,8.71,6.7,4.93,9,8th and 9th grade,94.23,89.81,39.14,3.0,4.30709197880735
76380728,76380908,0.6823529411764706,0.6906077348066298,4.921066666666666,4.914942528735632,1063,4.333333333333333,5.0,4.9210666666666665,0.13633527300983656,4.933333333333334,5.0,5.0,59.3,9.9,8.0,12.8,11.6,8.48,6.111111111111111,7.11,23,7th and 8th grade,98.6,93.0,39.2,2.9,3.824892280979924
76384218,76384269,0.6455696202531646,0.582089552238806,4.926495726495728,4.934640522875818,1117,4.333333333333333,5.0,4.926495726495727,0.15231910707655022,4.933333333333334,5.0,5.0,58.58,11.2,8.2,14.66,17.4,10.5,8.428571428571429,8.94,29,8th and 9th grade,97.89,91.97,35.89,3.0,6.858062337175699
