,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.018337569528319053,0.04418227211181292,0.0900388030532084,0.09708216938667891
vocab_coverage,0.024152223614605516,0.059231041773348765,0.09848877518698132,0.10552497372396828
ave_readability,0.0030761070407351997,0.0035466836140851912,0.00738056219843113,0.0076319461184320685
ave_readability2,0.0027710614040653,0.0033795287682829756,0.003153101354477725,0.0040566137594379315
length,6513301.835,6940694.505,29592779.303,23238232.012
min,0.61456,0.8068189964157706,0.4440320173653507,0.5009571369121931
max,0.0,0.0,5.9693393026726364e-05,1.109723956165896e-05
mean,0.0030761070407351893,0.003546683614085185,0.007380562198431128,0.007631946118432065
std,0.012562704955549989,0.018143152663355484,0.014826129307620334,0.016247897784296125
q1,0.008373055555555562,0.00804015456989248,0.03248202414869082,0.02758114856429464
median,0.0008077777777777769,0.00042226702508960573,0.003934337267670602,0.005848245248994317
q3,7.583333333333305e-05,4.6202956989246985e-05,0.0024206349206349225,0.0024323761964211424
FRE,1868.4335942000002,2320.9553353,37437.674496199994,96675.41935509999
SMOGI,26.415239999999997,61.85378000000001,42.522059999999996,48.243680000000005
FKGL,73.18932000000001,59.18826,1859.2633500000002,2698.5337000000004
CLI,145.9805387,200.2858873,3671.4222983,15910.971588100001
ARI,219.92665999999997,223.08426,17141.38509,60236.548
DCRS,10.2064293,9.4360725,91.15835759999999,172.4969186
LWF,56.808746358307964,56.4255585549628,130.98573479676892,140.17624938388818
GFI,56.13865749999999,31.2654219,1322.5240885,949.4656263
DW,1063.903,1293.141,779.589,856.755
TS,73.696,38.077,747.24,2047.505
FH,1070.3802044000001,1208.5059562,23370.3399779,51915.6674981
SP,1115.7039180000002,1229.2866849,22597.0918631,53540.4735254
GP,444.38662000000005,545.5799554000001,10970.9786128,44926.499252199996
CF,5.3488999999999995,8.54011,81.46102,285.49584
NERF,15.28471641180302,35.71669351802086,315.38901644106204,482.28230065467153
