,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.7039392733562959
vocab_coverage,0.7472909922138924
ave_readability,4.929596817370138
ave_readability2,4.916922689180977
length,1077.447
min,4.016938775510202
max,5.0
mean,4.929596817370137
std,0.17452684741186758
q1,4.959098639455797
median,4.99687074829932
q3,4.998401360544218
FRE,60.48949000000006
SMOGI,10.6436
FKGL,9.564000000000004
CLI,10.406160000000007
ARI,13.109000000000009
DCRS,8.294409999999994
LWF,10.712333116883126
GFI,10.159889999999972
DW,21.769
TS,9.672
FH,97.31546000000006
SP,92.17089000000004
GP,40.351630000000085
CF,2.5769999999999995
NERF,2.7238528967488542
