,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.3450504079144552,0.03094254027998341,0.4403569429039748,0.17764823109993158
vocab_coverage,0.4199226359741189,0.07198090573776134,0.4708195925140548,0.23117179753046468
ave_readability,0.33836703676151086,0.1454297674862259,0.5243086071741151,0.36264908922555045
ave_readability2,0.21965690780545113,0.11419335374048442,0.44182152022483495,0.2811720723073736
length,0.20331662964776673,0.056111852808006554,0.34228537829163924,0.0176733599303687
min,0.20307709654470923,0.10691918088844313,0.36339782869597825,0.2197294687316232
max,,,,
mean,0.3383419404725801,0.14544075439426735,0.5243438740961258,0.3626979203738049
std,0.30535487074565165,0.15157766038381082,0.5134230454230454,0.35488061488061495
q1,0.29145193828718663,0.1148896576343288,0.4064142937509501,0.2760933055916697
median,0.027866504874792353,-0.015696223648179367,-0.005513044042988076,-0.0031797729117389534
q3,,,,
FRE,0.4282009898911455,0.06959353240696191,0.5226365521515207,0.25525327022670297
SMOGI,0.27287966468790914,0.06846316923830792,0.45532153229283046,0.2652204058507741
FKGL,0.38896037537418976,0.07120945069306102,0.4475936561130964,0.20033840083745197
CLI,0.47146653414147327,0.05670515972709852,0.5572640169742978,0.2857476383281829
ARI,0.35236401460925065,0.026217578700512202,0.46031403579412816,0.18979597766678888
DCRS,0.32443750469863275,0.0638928867949718,0.38224191056826917,0.19126901353500517
LWF,0.30152245235199554,0.0810746058862822,0.3476687342615587,0.18965635584051885
GFI,0.34985664921615955,0.08778955422318455,0.42685118346174783,0.1940868289411599
DW,0.26142344985080795,0.11832340374469467,0.4313814322921461,0.18410841028530778
TS,0.25494350819441075,0.023463157803080968,0.3373152089882085,0.13028443025035474
FH,0.41563003306937685,0.06905899292731232,0.4983251279061588,0.23615550302201122
SP,0.4214112169572195,0.06937592979083329,0.5132594274769235,0.2505679138171225
GP,0.4423406423474144,0.043945850093266715,0.5288765386893938,0.25822333611094805
CF,0.44682283822148566,0.09172654084679377,0.5541737572720282,0.28857886355295387
NERF,0.2517496805049295,-0.0035767961884283885,0.3728651168651169,0.00852892452892453
