,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.105188848635705,0.17996483123402338,0.19871619558107986,0.2197164413901003
vocab_coverage,0.12130723287609733,0.21408958060750038,0.21648357868472407,0.2505259368353378
ave_readability,0.03903436392259047,0.04386997116151795,0.0317103537404176,0.034270446114733705
ave_readability2,0.0395520719400865,0.04404586692490194,0.029640009143195572,0.03174471237455228
length,1243.833,1405.247,948.356,1042.515
min,0.5690000000000002,0.6967741935483868,0.4026028547439127,0.4492863140218299
max,0.0,0.0,0.0015113350125944575,0.0015113350125944575
mean,0.03903436392259054,0.043869971161518126,0.03171035374041764,0.03427044611473387
std,0.08548517401786405,0.10432437059585731,0.06705841560797868,0.07346384389359321
q1,0.05329999999999995,0.05631720430107497,0.040994962216624575,0.04217044500419803
median,0.004699999999999992,0.0029233870967741893,0.003610411418975646,0.003610411418975646
q3,0.000549999999999999,0.00038642473118279434,0.001889168765743072,0.001889168765743072
FRE,25.87793000000001,32.89243999999999,49.349279999999965,51.64064000000002
SMOGI,3.5261999999999944,6.289999999999992,4.433700000000002,4.8013
FKGL,4.575000000000004,5.550599999999995,8.498900000000013,8.702800000000012
CLI,7.205680000000005,9.599900000000005,11.23252000000002,12.197420000000008
ARI,8.727499999999992,11.171700000000007,10.243199999999993,11.173299999999996
DCRS,2.1043200000000004,2.1217800000000007,3.6021799999999993,3.7184999999999984
LWF,5.570793091579419,6.203120692147924,6.595129408809663,6.575280792719873
GFI,3.6518600000000014,4.145520000000004,4.608330000000008,4.767699999999999
DW,19.856,23.558,16.308,17.576
TS,4.398,4.517,5.148,5.176
FH,19.190160000000024,24.152259999999977,36.707769999999975,38.15144
SP,19.596760000000007,24.477330000000016,31.560449999999953,33.10767999999998
GP,12.504700000000017,16.01782,16.35766000000001,17.863100000000024
CF,1.4206999999999992,1.9211999999999978,1.8605999999999994,1.990399999999998
NERF,2.8949988845152084,4.782030113744169,4.45865385870581,5.12502177615229
