,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6472599678746033
vocab_coverage,0.6499836934147772
ave_readability,4.914290975375696
ave_readability2,4.910918484834976
length,5747.161
min,3.840933333333333
max,5.0
mean,4.914290975375696
std,0.19397206475197296
q1,4.932616666666667
median,4.991533333333334
q3,4.998333333333333
FRE,33.37778
SMOGI,10.8292
FKGL,12.9426
CLI,20.11217
ARI,23.6127
DCRS,5.4876499999999995
LWF,9.793865118459262
GFI,8.29095
DW,33.612
TS,11.074
FH,78.57959
SP,74.71764999999999
GP,24.931120000000004
CF,3.9112
NERF,2.333393568519892
