,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.7398841263355873
vocab_coverage,0.7880804829744361
ave_readability,4.932862419812654
ave_readability2,4.917802374140114
length,1409.938
min,3.955155155155155
max,5.0
mean,4.932862419812654
std,0.17411333493146144
q1,4.964414414414415
median,4.9997997997998
q3,5.0
FRE,56.87736999999999
SMOGI,11.6477
FKGL,10.398099999999998
CLI,11.11853
ARI,13.759900000000002
DCRS,7.58419
LWF,11.678040503940505
GFI,10.46628
DW,26.129
TS,10.367
FH,94.36122
SP,91.08955
GP,40.24675
CF,2.9615
NERF,2.3212984329408837
