QuestionId,AnswerId,vocab_ratios,vocab_coverage,ave_readability,ave_readability2,length,min,max,mean,std,q1,median,q3,FRE,SMOGI,FKGL,CLI,ARI,DCRS,LWF,GFI,DW,TS,FH,SP,GP,CF,NERF
76378346,76378431,0.6973684210526315,0.7469135802469136,4.927272727272727,4.901886792452831,1017,4.0,5.0,4.927272727272728,0.14595872216717934,4.933333333333334,5.0,5.0,54.42,13.0,9.8,12.0,13.3,8.65,13.6,9.9,29,9th and 10th grade,93.7,88.15,39.86,3.4,5.993534199843332
76378408,76378435,0.7924528301886793,0.8526315789473684,4.954732510288066,4.938095238095238,514,3.6666666666666665,5.0,4.954732510288066,0.15881148438113368,5.0,5.0,5.0,77.77,10.8,7.1,7.2,8.6,7.59,11.2,10.5,14,10th and 11th grade,109.66,105.85,47.65,2.0,1.88463275972597
76378340,76378439,0.7727272727272727,0.8614457831325302,4.973426573426575,4.963725490196079,970,4.466666666666667,5.0,4.973426573426574,0.07889676755731913,5.0,5.0,5.0,71.85,8.8,7.3,9.16,9.8,7.84,8.166666666666666,8.24,29,7th and 8th grade,106.21,103.01,44.74,2.2,3.1033361358838283
76378344,76378496,0.6071428571428571,0.5053410024650781,4.962493224932249,4.925490196078432,6707,4.066666666666666,5.0,4.962493224932249,0.08481191635344539,5.0,5.0,5.0,38.38,7.2,9.8,15.15,15.3,0.64,3.916666666666667,3.18,8,3rd and 4th grade,85.09,78.86,34.38,3.4,-0.21742695525495837
76378323,76378505,0.6792452830188679,0.8461538461538461,4.963636363636363,4.951851851851853,1922,3.8,5.0,4.963636363636365,0.1356547229430266,4.933333333333334,5.0,5.0,53.61,9.9,10.2,13.69,15.5,6.48,11.2,7.8,21,9th and 10th grade,92.89,87.53,36.79,3.4,0.20213225628338627
76378468,76378523,0.8208955223880597,0.8075539568345323,4.935040831477357,4.911515151515152,6171,3.466666666666667,5.0,4.935040831477356,0.14724074247367308,5.0,5.0,5.0,84.81,7.9,6.4,7.02,9.7,1.34,7.833333333333334,8.22,18,7th and 8th grade,114.24,108.91,47.48,1.7,-1.5825189868440543
76378419,76378558,0.725,0.8127853881278538,4.919101123595506,4.926436781609196,1363,3.933333333333333,5.0,4.919101123595507,0.2509352115800463,5.0,5.0,5.0,75.91,7.9,5.7,11.35,11.7,5.61,5.75,5.53,10,5th and 6th grade,110.29,107.87,41.5,1.7,0.09072005344890499
76383950,76384028,0.7252747252747253,0.7608695652173914,4.948571428571429,4.932323232323233,1183,3.466666666666667,5.0,4.948571428571428,0.1547846137185183,4.933333333333334,5.0,5.0,58.58,10.0,8.2,12.11,12.3,7.9,6.75,7.26,29,7th and 8th grade,97.89,91.82,40.14,3.0,4.616466733571336
76380624,76380646,0.6142857142857143,0.669431279620853,4.928731563421829,4.917829457364341,5036,4.466666666666667,5.0,4.928731563421829,0.1560149745630833,5.0,5.0,5.0,51.24,11.1,9.0,13.44,12.1,1.31,7.375,5.15,20,8th and 9th grade,93.01,86.33,37.81,3.4,0.6413787837390963
76380600,76380785,0.7,0.8710280373831776,4.968383404864092,4.89047619047619,3074,2.7333333333333334,5.0,4.968383404864091,0.12552953120985127,5.0,5.0,5.0,71.75,10.1,7.3,6.84,8.8,5.38,8.166666666666666,7.17,19,6th and 7th grade,106.11,104.86,48.61,2.1,-2.172164856598313
76378487,76378586,0.0,0.0,NaN,NaN,2342,,,,,,,,206.84,0.0,-15.7,-15.81,0.0,0.0,-1.0,0.0,0,-1th and 0th grade,206.84,0.0,0.0,0.0,-3.0233
76380579,76380826,0.8780487804878049,0.9442379182156134,4.934120734908135,4.881481481481481,5589,3.6,5.0,4.934120734908136,0.220869377712277,5.0,5.0,5.0,69.25,9.4,10.4,6.22,11.6,1.53,11.0,10.99,8,10th and 11th grade,101.1,98.54,46.88,2.2,-3.634223508473355
76383957,76384041,0.7142857142857143,0.7504672897196262,4.949356579493566,4.909333333333334,6101,4.133333333333334,5.0,4.949356579493566,0.1381570909361147,5.0,5.0,5.0,66.03,10.4,7.5,8.17,7.4,1.43,7.857142857142858,6.04,35,7th and 8th grade,102.87,99.55,46.86,2.5,-0.4686080376860895
76383902,76384109,0.6086956521739131,0.5288888888888889,4.942016806722689,4.919047619047619,3572,3.8,5.0,4.942016806722689,0.1826745068178832,5.0,5.0,5.0,22.58,16.6,17.9,16.66,27.1,8.04,13.2,13.87,36,16th and 17th grade,66.71,64.41,28.36,4.7,4.273064171300238
76378480,76378588,0.8068181818181818,0.8432432432432433,4.9401709401709395,4.9239436619718315,994,3.933333333333333,5.0,4.94017094017094,0.13272929140378917,4.933333333333334,5.0,5.0,76.96,11.0,7.4,7.89,10.1,6.94,11.8,9.43,18,6th and 7th grade,108.85,103.74,46.3,2.1,3.501216756605676
76384080,76384128,0.7241379310344828,0.8156424581005587,4.944748858447488,4.936507936507938,1015,4.533333333333333,5.0,4.944748858447489,0.12097009933867503,5.0,5.0,5.0,70.53,9.4,7.8,8.58,9.6,7.74,8.5,9.09,27,8th and 9th grade,104.89,102.86,45.33,2.2,2.9839900313085588
76380728,76380908,0.4772727272727273,0.4953271028037383,4.9160377358490575,4.8920634920634924,3756,3.6666666666666665,5.0,4.916037735849056,0.2485484540402034,4.933333333333334,5.0,5.0,2.51,11.9,15.3,34.95,31.5,7.1,5.181818181818182,7.36,39,11th and 12th grade,59.05,56.61,2.05,5.5,4.34325885670124
76384218,76384269,0.746031746031746,0.808695652173913,4.962007168458782,4.948936170212765,692,4.466666666666667,5.0,4.962007168458782,0.10084368089913731,5.0,5.0,5.0,65.32,10.4,7.7,9.27,9.1,7.51,10.5,8.54,18,7th and 8th grade,102.15,98.2,44.79,2.6,2.637901646093921
76383839,76384284,0.5396825396825397,0.8860759493670886,4.776462585034013,4.854901960784313,6736,3.6,5.0,4.776462585034014,0.45640734886858925,4.866666666666666,5.0,5.0,49.59,16.1,13.8,11.56,16.9,2.1,16.25,12.54,35,16th and 17th grade,86.34,83.04,37.56,3.3,-2.2216196955599274
76378670,76378715,0.7545454545454545,0.48117942283563364,4.959669708822251,4.867469879518073,6704,2.7333333333333334,5.0,4.959669708822251,0.17665098244324134,5.0,5.0,5.0,83.56,7.5,4.9,10.31,11.8,1.33,7.5,5.48,27,7th and 8th grade,115.48,110.68,43.0,1.6,1.2353786556683914
76378383,76378734,0.7115384615384616,0.5361271676300579,4.959748427672956,4.91981981981982,3430,3.733333333333333,5.0,4.959748427672956,0.13726262003223894,5.0,5.0,5.0,64.1,8.4,8.2,15.95,18.4,5.97,7.833333333333334,7.16,25,7th and 8th grade,100.93,99.81,33.71,2.5,2.1119924738601688
76380693,76380922,0.39814814814814814,0.5008210180623974,4.942295081967212,4.953488372093023,3288,4.666666666666667,5.0,4.942295081967213,0.09965247625208208,4.933333333333334,5.0,5.0,-9.87,21.9,38.7,9.31,52.7,10.98,11.8,39.22,31,38th and 39th grade,24.1,21.73,18.83,3.3,4.052073771809198
