QuestionId,AnswerId,vocab_ratios,vocab_coverage,ave_readability,ave_readability2,length,min,max,mean,std,q1,median,q3,FRE,SMOGI,FKGL,CLI,ARI,DCRS,LWF,GFI,DW,TS,FH,SP,GP,CF,NERF
76378346,76378431,0.7333333333333333,0.5053892215568863,4.998736176935229,4.957575757575759,8290,4.866666666666666,5.0,4.99873617693523,0.010184367432092375,5.0,5.0,5.0,-555.84,0.0,194.6,70.27,271.6,21.07,142.0,167.2,3,194th and 195th grade,-459.53,-457.99,-195.03,16.0,1.375871300195306
76378408,76378435,0.6721311475409836,0.7199170124481328,4.848414985590778,4.931707317073172,6993,3.6666666666666665,5.0,4.848414985590791,0.3699571394629411,4.933333333333334,5.0,5.0,88.02,6.9,3.1,6.81,9.7,1.08,3.8181818181818183,3.62,13,3rd and 4th grade,119.97,118.68,48.91,0.5,-0.47652990131410133
76378340,76378439,0.0,0.0,NaN,NaN,4,,,,,,,,206.84,0.0,-15.7,-15.81,0.0,0.0,-1.0,0.0,0,-1th and 0th grade,206.84,0.0,0.0,0.0,-3.0233
76378344,76378496,0.5851063829787234,0.7109004739336493,4.941777777777777,4.944242424242424,2439,4.333333333333333,5.0,4.941777777777775,0.12945393384387488,4.933333333333334,5.0,5.0,61.26,10.8,9.3,10.56,12.5,6.64,6.5,8.5,26,8th and 9th grade,98.07,92.1,42.23,3.1,0.9561743175154707
76378323,76378505,0.0,0.0,NaN,NaN,1839,,,,,,,,206.84,0.0,-15.7,-15.81,0.0,0.0,-0.5,0.0,0,-1th and 0th grade,206.84,0.0,0.0,0.0,-2.646914345513089
76378468,76378523,0.8666666666666667,0.874095513748191,4.9524282560706405,4.953846153846154,8900,4.8,5.0,4.9524282560706725,0.06859510381276383,4.933333333333334,5.0,5.0,57.37,8.8,8.7,14.43,14.8,0.77,6.25,5.56,3,8th and 9th grade,96.66,95.03,36.27,2.8,-1.0642112438064886
76378419,76378558,0.6881720430107527,0.7076023391812866,4.892561983471074,4.890625,1407,3.8666666666666663,5.0,4.892561983471074,0.24126570149947316,4.933333333333334,5.0,5.0,46.13,10.1,8.9,17.65,19.1,9.15,5.8,5.73,31,5th and 6th grade,90.37,86.1,30.37,3.0,7.075266312668109
76383950,76384028,0.8260869565217391,0.8823529411764706,4.9608888888888885,4.942105263157894,491,4.466666666666667,5.0,4.960888888888889,0.08983496528442768,4.933333333333334,5.0,5.0,74.9,8.3,6.1,8.98,8.9,7.65,6.666666666666667,7.82,13,7th and 8th grade,109.27,107.06,45.19,1.9,1.7333866832563496
76380624,76380646,0.574468085106383,0.6453943407585792,4.930099502487563,4.908641975308642,8995,4.6,5.0,4.930099502487563,0.12287121998086714,4.866666666666666,5.0,5.0,82.1,7.5,3.3,9.45,8.4,0.56,3.0,2.57,9,2nd and 3rd grade,116.52,112.31,42.91,0.2,-2.1704059519208503
76380600,76380785,0.6808510638297872,0.7027027027027027,4.9743589743589745,4.96875,552,4.733333333333333,5.0,4.9743589743589745,0.05570656662153953,4.933333333333334,5.0,5.0,37.98,10.0,10.0,19.27,19.9,11.36,5.142857142857143,7.49,15,9th and 10th grade,84.68,77.57,27.27,3.6,5.070167893319542
76378487,76378586,0.0,0.0,NaN,NaN,2745,,,,,,,,206.84,0.0,-15.7,-15.81,0.0,0.0,-1.0,0.0,0,-1th and 0th grade,206.84,0.0,0.0,0.0,-3.0233
76380579,76380826,0.8064516129032258,0.7893056664006385,4.957735085945399,4.954666666666667,7516,4.133333333333334,5.0,4.957735085945408,0.15545358551324112,5.0,5.0,5.0,39.0,17.1,15.8,12.83,22.7,1.75,22.666666666666668,12.91,4,12th and 13th grade,78.2,73.65,34.61,3.9,-0.5753068411074307
76383957,76384041,0.6382978723404256,0.5701284796573876,4.930328638497652,4.913333333333332,10535,4.133333333333334,5.0,4.93032863849766,0.18020838363536576,4.933333333333334,5.0,5.0,66.64,8.8,7.2,10.72,9.7,0.86,4.9,5.36,15,8th and 9th grade,103.48,101.06,42.32,2.3,-1.7845335009363366
76383902,76384109,0.6056338028169014,0.5202156334231806,4.936096718480138,4.917054263565893,4994,3.8,5.0,4.936096718480137,0.1930077893901755,5.0,5.0,5.0,28.47,15.1,15.7,16.25,23.8,8.55,10.5,11.84,38,15th and 16th grade,72.63,71.74,30.6,4.4,5.581625648169926
76378480,76378588,0.75,0.013186813186813187,4.977777777777778,4.977777777777778,1384,4.866666666666666,5.0,4.977777777777778,0.049690399499995486,5.0,5.0,5.0,4.5,0.0,41.5,-4.16,55.4,5.96,25.0,46.4,0,41st and 42nd grade,28.52,28.54,34.66,1.3,-2.1639350370293684
76384080,76384128,0.9166666666666666,0.9995501574448943,4.918991899189919,4.903030303030303,12226,4.466666666666667,5.0,4.918991899189926,0.14079888588695835,4.866666666666666,5.0,5.0,74.19,3.1,6.4,7.01,6.4,0.72,5.25,5.6,3,5th and 6th grade,108.56,108.3,48.72,1.8,-4.636186191171673
76380728,76380908,0.0,0.0,NaN,NaN,2756,,,,,,,,206.84,0.0,-15.7,-15.81,0.0,0.0,-1.0,0.0,0,-1th and 0th grade,206.84,0.0,0.0,0.0,-3.0233
76384218,76384269,0.9230769230769231,0.9375,4.96,4.95,2402,4.666666666666667,5.0,4.959999999999999,0.08709296863229073,4.966666666666667,5.0,5.0,97.54,0.0,3.6,2.38,3.3,7.39,7.0,6.4,2,6th and 7th grade,124.52,120.75,56.26,0.8,-0.7742995259168342
76383839,76384284,0.7840909090909091,0.8454106280193237,4.945142857142856,4.90048309178744,1131,3.6,5.0,4.9451428571428515,0.17756794873296713,5.0,5.0,5.0,71.44,10.3,7.4,7.89,8.4,7.15,12.0,8.68,23,7th and 8th grade,105.81,103.57,46.74,2.2,2.8891267111987258
76378670,76378715,0.76,0.6685214626391097,4.970749108204518,4.908771929824561,7795,3.8,5.0,4.970749108204542,0.0725175798445323,4.933333333333334,5.0,5.0,-188.71,29.2,107.4,11.4,142.2,13.73,14.0,109.2,5,13th and 14th grade,-155.63,-152.32,-45.82,3.3,11.521602056306238
76378383,76378734,0.2857142857142857,0.2857142857142857,5.0,5.0,33,5.0,5.0,5.0,0.0,5.0,5.0,5.0,117.16,0.0,-1.9,8.44,8.4,19.67,1.5,2.0,0,1st and 2nd grade,141.74,139.54,43.01,-2.7,-1.5105662910261786
76380693,76380922,0.39444444444444443,0.367983367983368,4.896798493408662,4.868544600938967,2832,3.066666666666667,5.0,4.896798493408661,0.28301319269942826,4.933333333333334,5.0,5.0,79.26,9.4,4.4,7.33,11.3,9.87,8.142857142857142,5.19,32,9th and 10th grade,113.66,108.25,47.95,1.4,6.632941121113369
76378708,76378750,0.717948717948718,0.667176740627391,4.947247706422019,4.954761904761905,7961,4.733333333333333,5.0,4.94724770642203,0.09379347477102236,4.933333333333334,5.0,5.0,60.82,10.1,7.4,10.65,12.6,0.77,6.875,4.31,11,6th and 7th grade,100.13,96.86,42.29,2.5,-1.2693326347898073
76383859,76384297,0.6984126984126984,0.7730496453900709,4.942507645259939,4.940909090909091,884,4.533333333333333,5.0,4.9425076452599415,0.11003396377092035,4.933333333333334,5.0,5.0,56.89,13.0,11.0,10.22,14.5,8.01,13.4,10.84,18,10th and 11th grade,93.69,87.97,41.76,3.3,2.0114000390432674
76380850,76380929,0.48936170212765956,0.47368421052631576,4.953703703703705,4.939130434782609,1300,4.533333333333333,5.0,4.953703703703705,0.08863776254647644,4.933333333333334,5.0,5.0,-33.09,18.2,24.8,26.63,35.9,10.38,16.75,14.06,21,24th and 25th grade,28.28,21.97,12.48,8.2,7.859379855221487
76380934,76380982,1.0,1.0,5.0,5.0,2812,5.0,5.0,5.0,0.0,5.0,5.0,5.0,115.13,0.0,-1.2,-4.24,-2.5,0.35,3.0,2.8,0,2nd and 3rd grade,139.7,137.54,66.42,-1.5,-0.6382310333333341
76378592,76378760,0.6527777777777778,0.7888888888888889,4.966197183098592,4.9460992907801415,1046,4.466666666666667,5.0,4.966197183098592,0.09714113085346074,5.0,5.0,5.0,64.44,10.9,10.1,10.8,14.9,8.44,14.0,11.38,21,10th and 11th grade,98.77,96.8,40.45,2.5,2.449277230725637
76383945,76384326,0.5652173913043478,0.5428571428571428,4.870175438596491,4.851282051282052,3374,3.8,5.0,4.870175438596491,0.2617741396995718,4.883333333333333,5.0,5.0,-1030.7,14.6,161.7,309.26,259.7,13.72,16.0,13.21,16,13th and 14th grade,-676.55,-708.42,-457.55,66.0,11.136746169977739
76380868,76380985,0.7948717948717948,0.8238993710691824,4.952162849872772,4.921505376344087,907,4.133333333333334,5.0,4.9521628498727726,0.14509797436644475,5.0,5.0,5.0,66.33,10.6,7.3,9.16,9.2,7.52,8.0,8.08,21,7th and 8th grade,103.17,102.35,45.32,2.2,2.941228288677112
76380847,76380988,0.6666666666666666,0.6666666666666666,4.9664646464646465,4.961111111111111,9715,4.6,5.0,4.966464646464644,0.10347477902807266,5.0,5.0,5.0,61.77,13.0,9.1,8.23,9.5,0.94,11.166666666666666,7.23,4,8th and 9th grade,98.58,95.47,45.82,2.8,-2.7896328915049895
76384211,76384348,0.4583333333333333,0.4838709677419355,4.915555555555556,4.933333333333333,278,4.666666666666667,5.0,4.915555555555555,0.12041081941461387,4.833333333333333,5.0,5.0,-25.99,0.0,22.1,30.51,39.3,15.96,21.0,19.83,8,-1th and 0th grade,35.42,28.6,7.94,8.0,11.923273242042377
