,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.7064995190524639
vocab_coverage,0.77989635669545
ave_readability,4.893985144997539
ave_readability2,4.827303711657689
length,1461.107
min,3.126266666666667
max,5.0
mean,4.893985144997541
std,0.26555620366791105
q1,4.925433333333334
median,4.999866666666667
q3,5.0
FRE,46.105520000000006
SMOGI,13.879700000000001
FKGL,12.131099999999998
CLI,12.71677
ARI,14.7441
DCRS,9.27644
LWF,13.811811471861471
GFI,13.32734
DW,50.552
TS,12.714
FH,86.44081
SP,82.96512999999999
GP,37.59063
CF,3.6438
NERF,4.819317478343186
