,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6562952490041594
vocab_coverage,0.7267470646800582
ave_readability,4.88591237550351
ave_readability2,4.813909174056444
length,2661.302
min,2.973333333333333
max,5.0
mean,4.88591237550351
std,0.2737123397930332
q1,4.910383333333333
median,5.0
q3,5.0
FRE,36.726910000000004
SMOGI,14.806599999999998
FKGL,13.683
CLI,15.25705
ARI,18.1199
DCRS,9.423849999999998
LWF,17.086627453102455
GFI,13.75243
DW,83.919
TS,13.933
FH,79.4955
SP,75.91141999999999
GP,33.06201
CF,4.1432
NERF,7.223174116613556
