,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6136644041732174
vocab_coverage,0.6298618051882344
ave_readability,4.923475706134986
ave_readability2,4.918979165943331
length,4611.053
min,4.1197350069735
max,4.999302649930264
mean,4.923475706134986
std,0.17338929514295487
q1,4.939748953974896
median,4.99560669456067
q3,4.998884239888424
FRE,39.830870000000004
SMOGI,10.261700000000001
FKGL,13.9671
CLI,15.50642
ARI,23.7263
DCRS,5.917440000000001
LWF,9.669730043367185
GFI,11.432670000000002
DW,18.04
TS,11.449
FH,80.82597
SP,68.68749
GP,26.18538
CF,3.373
NERF,0.9200324030424231
