,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.10185658262541611,0.16584300870579277,0.09555332488429026,0.12732290037233848
vocab_coverage,0.118663481842824,0.19912542435224823,0.13843255098984583,0.18826386850442145
ave_readability,0.03745616328573091,0.04117640459361206,0.02709284834894452,0.030104932257766337
ave_readability2,0.038074325222290775,0.0420373221471976,0.025647784434202955,0.028055498641691743
length,1276.129,1466.969,1031.519,1001.572
min,0.5672,0.6954301075268816,0.4096120837624442,0.4670099553724682
max,0.0,0.0,0.0,0.0
mean,0.037456163285730835,0.04117640459361205,0.027092848348944484,0.030104932257766396
std,0.08254094395940272,0.09926191417493842,0.06291024027597086,0.07034635977045821
q1,0.05135000000000001,0.05426747311827956,0.03604531410916581,0.041572262272571214
median,0.004566666666666658,0.002856182795698921,0.001304497082045998,0.001304497082045998
q3,0.000549999999999999,0.00038642473118279434,0.00017164435290078895,0.00017164435290078895
FRE,25.16054,31.160550000000004,27.460900000000002,31.15779
SMOGI,3.313,6.1484,2.0292999999999997,2.179
FKGL,4.362799999999999,5.147,4.5251,4.895200000000001
CLI,7.001,9.265039999999999,176.31482,177.93075
ARI,8.4208,10.364799999999999,213.70830000000004,214.968
DCRS,2.06011,2.0498499999999997,3.9499299999999997,4.15749
LWF,4.858483572898549,5.358696627065745,4.712086706430824,4.811535749054867
GFI,3.5041499999999997,3.95489,2.97029,3.3655999999999997
DW,21.168,25.9,15.3,17.15
TS,4.221,4.208,4.419,4.444
FH,18.584090000000003,22.734090000000002,20.006,22.343869999999995
SP,18.875400000000003,22.944209999999998,20.24884,22.804550000000003
GP,12.162709999999999,15.26731,295.38318,297.80247
CF,1.3781999999999999,1.8360999999999998,1.9316999999999998,2.1246
NERF,2.9508915586183626,5.081429560614864,3.7932148138641564,4.879282895268661
