,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.018337569528319053,0.04418227211181292,0.014473712274657671,0.023277471916571407
vocab_coverage,0.024152223614605516,0.059231041773348765,0.02532977967384722,0.04451086886204842
ave_readability,0.003076107040735194,0.003546683614085193,0.0013770025747752448,0.0017299141077415012
ave_readability2,0.0027710614040653003,0.003379528768282978,0.0010010732913142638,0.0012077046968700955
length,6513301.835,6940694.505,2290328.042,2648519.513
min,0.61456,0.8068189964157706,0.3660849214309595,0.4452513094840076
max,0.0,0.0,0.0,0.0
mean,0.0030761070407351893,0.003546683614085185,0.0013770025747752417,0.0017299141077414953
std,0.012562704955549989,0.018143152663355484,0.007307777034132627,0.009306727796088862
q1,0.008373055555555562,0.00804015456989248,0.00396160704335228,0.004314889111779785
median,0.0008077777777777769,0.00042226702508960573,5.349381477766619e-05,5.349381477766619e-05
q3,7.583333333333305e-05,4.6202956989246985e-05,4.45781789813883e-06,4.45781789813883e-06
FRE,1868.4335942000002,2320.9553353,751.9686123,1072.3147591999998
SMOGI,26.415239999999997,61.85378000000001,6.339120000000001,7.35256
FKGL,73.18932000000001,59.18826,24.550150000000002,28.8356
CLI,145.9805387,200.2858873,62.71554509999999,97.7828334
ARI,219.92665999999997,223.08426,80.06371,110.98518
DCRS,10.2064293,9.4360725,5.7356829,7.0822298
LWF,56.808746358307964,56.4255585549628,33.3364504378257,30.860595901929212
GFI,56.13865749999999,31.2654219,16.4782683,18.729525999999996
DW,1063.903,1293.141,411.168,543.127
TS,73.696,38.077,32.996,33.716
FH,1070.3802044000001,1208.5059562,408.67635679999995,552.5589912
SP,1115.7039180000002,1229.2866849,413.53025230000003,568.8169353999999
GP,444.38662000000005,545.5799554000001,183.00220130000002,273.1997537
CF,5.3488999999999995,8.54011,1.84321,2.72289
NERF,15.28471641180302,35.71669351802086,20.718120841757976,31.436955173568013
