QuestionId,AnswerId,vocab_ratios,vocab_coverage,ave_readability,ave_readability2,length,min,max,mean,std,q1,median,q3,FRE,SMOGI,FKGL,CLI,ARI,DCRS,LWF,GFI,DW,TS,FH,SP,GP,CF,NERF
76378346,76378431,0.7058823529411765,0.7917933130699089,4.968586052463212,4.966666666666666,7629,4.733333333333333,5.0,4.968586052463212,0.08150943974083759,5.0,5.0,5.0,93.14,7.3,3.3,5.15,6.9,0.76,6.0,4.86,5,4th and 5th grade,122.6,121.44,52.03,0.7,-3.3936809257980265
76378408,76378435,0.6666666666666666,0.05194805194805195,4.973333333333334,4.961904761904762,4257,4.733333333333333,5.0,4.973333333333334,0.07999999999999999,5.0,5.0,5.0,-8.0,6.4,46.2,4.73,87.9,6.73,17.0,51.42,3,6th and 7th grade,15.97,15.07,15.46,1.4,-17.05027342304416
76378340,76378439,0.3333333333333333,0.4,4.966666666666667,4.955555555555556,92,4.933333333333334,5.0,4.966666666666667,0.033333333333333215,4.933333333333334,4.966666666666667,5.0,-75.4,0.0,24.5,35.33,36.6,24.84,1.5,14.53,6,24th and 25th grade,5.78,-3.84,-7.71,6.1,0.7143526725790146
76378344,76378496,1.0,1.0,5.0,5.0,5063,5.0,5.0,5.0,0.0,5.0,5.0,5.0,-283.11,0.0,131.3,24.8,188.4,15.67,50.0,126.4,0,-1th and 0th grade,-235.49,-233.77,-83.31,6.3,209.53223991888638
76378323,76378505,0.6388888888888888,0.7791601866251944,4.96101131071191,4.920289855072465,6436,3.8,5.0,4.96101131071191,0.1444053801696662,5.0,5.0,5.0,91.82,6.6,3.8,5.55,6.2,1.23,4.333333333333333,5.56,25,5th and 6th grade,121.27,116.16,50.86,1.1,-0.4590256149708951
76378468,76378523,0.7828947368421053,0.7968021319120586,4.953734671125977,4.931652661064426,7559,3.6,5.0,4.953734671125975,0.1362282804362937,5.0,5.0,5.0,71.68,9.5,9.4,5.75,10.1,1.75,12.75,10.19,29,9th and 10th grade,103.54,103.8,48.53,1.9,-1.5238852895175405
76378419,76378558,0.6326530612244898,0.6601123595505618,4.865531914893618,4.868817204301076,2061,3.8,5.0,4.865531914893617,0.3264808246848151,5.0,5.0,5.0,71.1,8.3,5.5,7.68,7.5,5.33,4.6,3.99,14,7th and 8th grade,107.97,107.51,46.99,1.4,1.9399157159550544
76383950,76384028,0.0,0.0,NaN,NaN,1854,,,,,,,,206.84,0.0,-15.7,-15.81,0.0,0.0,-1.0,0.0,0,-1th and 0th grade,206.84,0.0,0.0,0.0,-3.0233
76380624,76380646,0.5172413793103449,0.14309484193011648,4.974418604651163,4.924444444444445,10026,4.466666666666667,5.0,4.974418604651163,0.09382407235401671,5.0,5.0,5.0,-295.56,12.9,55.3,108.71,108.7,5.14,3.517241379310345,2.22,12,108th and 109th grade,-150.43,-164.02,-129.49,19.1,64.86772427595943
76380600,76380785,0.559322033898305,0.6717948717948717,4.969974554707378,4.931313131313132,1433,4.266666666666667,5.0,4.969974554707378,0.09926404006184131,5.0,5.0,5.0,62.44,9.4,6.8,13.19,11.0,7.29,7.833333333333334,6.05,27,6th and 7th grade,101.76,96.97,38.12,2.2,3.8452475058619724
76378487,76378586,0.5769230769230769,0.5151515151515151,4.992156862745098,4.9911111111111115,233,4.933333333333334,5.0,4.992156862745098,0.021479315980594674,5.0,5.0,5.0,64.38,0.0,12.2,3.96,13.1,11.14,19.0,14.05,3,11th and 12th grade,96.2,91.12,49.44,2.5,3.9437258322772024
76380579,76380826,0.85,0.8530447911424258,4.981946902654868,4.89607843137255,9968,3.6666666666666665,5.0,4.981946902654868,0.05708313441023582,5.0,5.0,5.0,89.79,6.5,4.5,5.27,5.9,0.85,8.166666666666666,6.14,6,5th and 6th grade,119.23,114.03,51.1,1.3,-3.037140717741936
76383957,76384041,0.6086956521739131,0.6,4.933962264150943,4.933333333333334,6013,4.133333333333334,5.0,4.933962264150943,0.15418556790986315,4.933333333333334,5.0,5.0,7.72,12.7,15.4,29.33,29.3,5.5,5.222222222222222,5.95,21,5th and 6th grade,61.78,58.12,11.29,5.7,6.6757788978334744
