QuestionId,AnswerId,vocab_ratios,vocab_coverage,ave_readability,ave_readability2,length,min,max,mean,std,q1,median,q3,FRE,SMOGI,FKGL,CLI,ARI,DCRS,LWF,GFI,DW,TS,FH,SP,GP,CF,NERF
76378346,76378431,0.7954545454545454,0.7872340425531915,4.906306306306307,4.885714285714286,618,4.0,5.0,4.906306306306307,0.19169511545044093,4.933333333333334,5.0,5.0,41.19,15.6,12.9,13.75,17.8,9.11,16.25,12.32,18,12th and 13th grade,82.91,78.12,35.79,4.1,4.663682531818182
76378408,76378435,0.7384615384615385,0.8012422360248447,4.916795865633075,4.951388888888889,875,3.6666666666666665,5.0,4.916795865633076,0.30307422931616224,5.0,5.0,5.0,87.96,8.8,5.2,7.13,9.0,6.84,8.5,8.4,16,8th and 9th grade,117.4,112.46,47.89,1.5,1.8113493737790494
76378340,76378439,0.782608695652174,0.75,4.966666666666668,4.953703703703704,465,4.2,5.0,4.966666666666667,0.13502019358191245,5.0,5.0,5.0,62.88,12.2,8.7,12.29,14.1,8.95,11.625,9.71,12,8th and 9th grade,99.7,94.31,39.39,2.9,2.9789513441657043
76378344,76378496,0.6875,0.8146067415730337,4.913563218390806,4.915151515151516,1007,3.733333333333333,5.0,4.913563218390805,0.19638481856113393,4.933333333333334,5.0,5.0,64.14,9.2,10.3,9.17,13.9,8.7,11.0,11.0,26,10th and 11th grade,98.46,97.55,43.11,2.5,1.555320932790183
76378323,76378505,0.6785714285714286,0.7569721115537849,4.918596491228069,4.897076023391813,1688,3.733333333333333,5.0,4.918596491228063,0.25623069783693825,5.0,5.0,5.0,54.32,10.0,9.9,15.77,16.8,8.14,10.8,8.76,31,9th and 10th grade,93.6,92.78,33.5,3.0,4.25859920228859
76378468,76378523,0.7731958762886598,0.8484848484848485,4.892857142857143,4.893333333333334,1305,3.733333333333333,5.0,4.89285714285714,0.24847608096513357,4.866666666666666,5.0,5.0,80.21,8.2,6.1,7.54,8.7,7.07,5.875,7.43,21,7th and 8th grade,112.11,106.96,47.46,1.9,2.6398823712464816
76378419,76378558,0.6458333333333334,0.6875,4.882983682983684,4.904301075268818,1596,3.8666666666666663,5.0,4.88298368298368,0.2904559856663912,4.933333333333334,5.0,5.0,51.14,10.8,9.0,17.15,18.3,9.06,5.7,7.41,35,8th and 9th grade,92.91,90.68,31.57,3.1,6.958478301422721
76383950,76384028,0.84375,0.8723404255319149,4.915447154471544,4.883950617283951,304,3.466666666666667,5.0,4.915447154471545,0.25032202143643334,4.933333333333334,5.0,5.0,56.59,0.0,11.1,10.1,14.7,8.55,15.75,13.55,8,10th and 11th grade,93.38,90.39,41.81,3.1,1.8770988522649583
76380624,76380646,0.7191011235955056,0.7716262975778547,4.960538116591928,4.947916666666667,1499,4.466666666666667,5.0,4.960538116591923,0.09298948736485776,5.0,5.0,5.0,66.44,9.6,7.3,7.64,6.9,6.31,6.875,6.37,21,6th and 7th grade,103.27,102.43,47.37,2.2,1.3547363861102735
76380600,76380785,0.7894736842105263,0.8277777777777777,4.949888143176733,4.937777777777777,1186,4.466666666666667,5.0,4.949888143176731,0.10445870283356386,4.933333333333334,5.0,5.0,58.08,11.4,8.4,11.7,11.5,7.23,8.142857142857142,8.3,22,11th and 12th grade,97.38,94.0,40.6,2.9,3.522564268003631
76378487,76378586,0.6774193548387096,0.6788321167883211,4.959139784946236,4.942857142857143,766,3.8,5.0,4.959139784946237,0.18027783100052117,5.0,5.0,5.0,50.47,10.5,17.6,6.75,21.4,8.9,52.0,18.86,9,17th and 18th grade,82.23,78.4,40.56,2.7,-0.4839044732707807
76380579,76380826,0.7903225806451613,0.7954545454545454,4.877619047619048,4.891156462585034,1048,3.6666666666666665,5.0,4.8776190476190475,0.2987392252727343,4.933333333333334,5.0,5.0,64.2,10.0,8.2,9.22,10.1,6.71,10.333333333333334,7.37,16,9th and 10th grade,101.03,99.11,44.95,2.5,3.374687278688879
76383957,76384041,0.6666666666666666,0.7188940092165899,4.961965811965812,4.935483870967743,1241,4.133333333333334,5.0,4.9619658119658085,0.12244242311930306,5.0,5.0,5.0,64.2,10.6,8.2,9.74,10.5,7.78,10.5,9.19,31,10th and 11th grade,101.03,94.98,44.14,2.8,2.6418541067301
76383902,76384109,0.6174496644295302,0.5386266094420601,4.9293492695883145,4.919565217391306,3748,3.8,5.0,4.929349269588312,0.20399305535738063,5.0,5.0,5.0,24.11,16.3,17.4,17.13,26.6,8.12,10.5,13.33,41,16th and 17th grade,68.24,65.49,28.17,4.7,4.801051481925423
76378480,76378588,0.7678571428571429,0.8586956521739131,4.912658227848103,4.902325581395349,1080,3.933333333333333,5.0,4.9126582278481,0.18325113596302736,4.883333333333333,5.0,5.0,84.78,9.6,4.4,8.28,9.3,6.12,5.1,5.24,8,5th and 6th grade,116.7,110.97,46.77,1.5,1.972216068768212
76384080,76384128,0.7391304347826086,0.8,4.931481481481482,4.931372549019607,579,4.533333333333333,5.0,4.931481481481483,0.12170203556035379,4.916666666666667,5.0,5.0,59.9,9.6,7.7,12.33,12.5,7.75,6.5,6.06,12,7th and 8th grade,99.21,95.73,39.67,2.6,2.0510026607831247
76380728,76380908,0.6229508196721312,0.6498079385403329,4.898128078817734,4.8807017543859645,9460,3.8666666666666663,5.0,4.898128078817792,0.15289864498227174,4.866666666666666,5.0,5.0,-6.08,9.2,39.3,12.9,55.1,5.43,5.4,40.81,19,12th and 13th grade,25.41,24.61,11.2,2.8,-27.722869441926424
76384218,76384269,0.6451612903225806,0.543010752688172,4.93993399339934,4.923333333333333,1605,4.266666666666667,5.0,4.939933993399342,0.13117223890438962,4.933333333333334,5.0,5.0,55.95,11.4,9.3,14.49,19.0,8.01,8.142857142857142,8.47,22,8th and 9th grade,95.23,93.0,35.7,3.0,3.1576444848217315
76383839,76384284,0.7586206896551724,0.8028169014084507,4.8233918128654985,4.836363636363637,909,3.6,5.0,4.823391812865498,0.4109592692063482,4.933333333333334,5.0,5.0,59.94,11.8,9.8,11.95,14.5,8.28,11.8,10.2,22,11th and 12th grade,96.75,93.22,39.38,2.9,2.043745082410216
76378670,76378715,0.6964285714285714,0.717741935483871,4.973782771535581,4.958974358974359,724,4.733333333333333,5.0,4.973782771535581,0.06210456128291874,5.0,5.0,5.0,66.74,9.7,7.2,9.15,9.2,7.66,7.571428571428571,7.59,17,7th and 8th grade,103.58,103.31,44.97,2.1,1.2642709460163841
76378383,76378734,0.75,0.7984496124031008,4.960517799352751,4.944444444444445,861,4.266666666666667,5.0,4.960517799352752,0.10811192937534013,5.0,5.0,5.0,46.51,14.0,12.9,14.1,18.5,8.19,12.4,12.44,21,12th and 13th grade,85.75,80.93,34.62,3.7,2.6546905975463595
76380693,76380922,0.7288135593220338,0.8029197080291971,4.957575757575758,4.956589147286821,757,4.666666666666667,5.0,4.957575757575758,0.08126637717266293,4.933333333333334,5.0,5.0,65.86,10.5,9.6,6.85,11.5,7.82,11.6,10.38,15,11th and 12th grade,100.2,96.61,47.11,2.6,1.7144721585419855
76378708,76378750,0.7532467532467533,0.8170731707317073,4.95497512437811,4.950574712643679,1890,4.666666666666667,5.0,4.954975124378101,0.08835679428296944,4.933333333333334,5.0,5.0,76.66,10.1,7.5,6.62,10.4,6.16,11.0,8.96,21,6th and 7th grade,108.54,103.9,48.24,2.1,-0.5192689228467495
76383859,76384297,0.7843137254901961,0.8416666666666667,4.942574257425743,4.930000000000001,705,4.6,5.0,4.942574257425744,0.11605154310672429,5.0,5.0,5.0,47.12,11.2,12.7,10.74,13.4,7.59,11.6,11.27,14,10th and 11th grade,86.36,82.64,40.4,3.6,0.4359527304509978
76380850,76380929,0.640625,0.6907894736842105,4.898412698412699,4.899186991869919,1087,3.2666666666666666,5.0,4.8984126984127,0.3354340456664909,4.933333333333334,5.0,5.0,42.11,13.0,12.5,12.76,16.6,9.37,15.75,11.02,30,12th and 13th grade,83.83,80.27,37.75,3.9,5.676903457142858
76380934,76380982,0.6582278481012658,0.7295597484276729,4.967816091954024,4.94871794871795,1015,4.666666666666667,5.0,4.967816091954023,0.0755479389662298,5.0,5.0,5.0,60.01,10.7,7.7,12.45,13.0,9.46,5.7,8.08,26,7th and 8th grade,99.31,94.98,39.6,2.7,4.44685916350023
