,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.10201803937205502,0.1686709889546142,0.11364993766239448,0.1502964318753789
vocab_coverage,0.1186890198694308,0.20082260317036527,0.13852693262212756,0.20005297695303242
ave_readability,0.03775888471168739,0.04114335017773558,0.03266432731054652,0.03600979435140685
ave_readability2,0.03861245925205576,0.0420446792660767,0.028669260264776373,0.03232681373292008
length,1273.513,1462.263,1984.924,1679.407
min,0.5672,0.6954301075268816,0.4288401253918495,0.5067085953878406
max,0.0,0.0,0.0,0.0
mean,0.03775888471168732,0.04114335017773544,0.032664327310546505,0.036009794351406776
std,0.08279392402477956,0.0997869864667308,0.07378329011930597,0.08386358856513546
q1,0.05351666666666667,0.053713037634408586,0.04184952978056425,0.0440076869322152
median,0.004499999999999992,0.0027889784946236525,0.0013932427725531161,0.0011879804332634507
q3,0.000549999999999999,0.00038642473118279434,0.00013932427725531218,0.00013976240391334774
FRE,25.183580000000003,31.30369,29.30784,33.93967
SMOGI,3.313,6.1484,2.5052,3.0755
FKGL,4.359,5.1512,4.9798,5.6703
CLI,7.015149999999999,9.289390000000001,8.17617,9.913939999999998
ARI,8.4346,10.378,8.9256,10.751600000000002
DCRS,2.0793900000000005,2.03261,3.50541,3.72563
LWF,4.829290442701806,5.348958475223981,4.248693220952109,4.416774925603666
GFI,3.5047699999999997,3.95621,3.1710199999999995,3.59396
DW,20.715,25.203,16.406,19.316
TS,4.262,4.251,4.323,4.605
FH,18.578480000000003,22.808619999999998,21.61302,24.922069999999998
SP,18.885540000000002,23.07289,20.387700000000002,23.855739999999997
GP,12.187899999999999,15.3064,13.428930000000001,16.3157
CF,1.3822,1.8459,1.3265,1.5508000000000002
NERF,2.9116540551247816,4.998088325281693,4.800852320784872,5.954265300605753
