,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.10679073723178904,0.18665249136806233,0.09599011513018936,0.1561590304366184
vocab_coverage,0.12215125573122956,0.21842114425362819,0.12457313406643095,0.20879179655738278
ave_readability,0.03948288983909217,0.04481306366263344,0.030932722198482473,0.036693864085712694
ave_readability2,0.03993179100768941,0.04521567778093986,0.029632879089488938,0.03365896613205737
length,1235.017,1386.241,962.822,1128.178
min,0.569,0.6967741935483871,0.4456,0.5364
max,0.0,0.0,0.0,0.0
mean,0.03948288983909211,0.04481306366263345,0.03093272219848235,0.03669386408571259
std,0.08605892419422001,0.1053691839848429,0.06812040582020293,0.08318428011218296
q1,0.053633333333333345,0.05762768817204301,0.042,0.04748333333333331
median,0.004799999999999992,0.0030241935483870924,0.0008333333333333312,0.0006999999999999984
q3,0.000549999999999999,0.00038642473118279434,0.0,0.0
FRE,26.08137,32.255199999999995,20.49136,27.43473
SMOGI,3.5101999999999998,6.1996,2.0845,2.475
FKGL,4.597899999999999,5.4825,3.5157,4.3795
CLI,7.29367,9.412049999999999,5.727879999999999,8.03843
ARI,8.839900000000002,10.8549,6.695,9.265699999999999
DCRS,2.10219,2.1403499999999998,1.5888999999999998,2.0684099999999996
LWF,5.444408100731771,6.100095073300826,4.424082169211451,4.668117152610406
GFI,3.6550199999999995,4.14356,2.48084,2.9404700000000004
DW,19.856,23.558,15.193,17.865
TS,4.427,4.46,3.197,3.482
FH,19.34288,23.72074,15.13293,19.839029999999998
SP,19.803549999999998,24.13538,15.35605,20.352829999999997
GP,12.64064,15.725439999999999,9.91258,13.84285
CF,1.4307,1.89,1.0888999999999998,1.4196999999999997
NERF,2.820566356759218,4.482677909896884,2.6841316562097193,4.163158579342145
