,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.10201803937205507,0.16867098895461424,0.08309244902631455,0.12833561366140914
vocab_coverage,0.11868901986943067,0.20082260317036546,0.11638317436702356,0.1830231054457174
ave_readability,0.03775888471168737,0.041143350177735495,0.026596420279052013,0.03076533826574451
ave_readability2,0.03861245925205579,0.04204467926607672,0.024487657866434216,0.02772610053428758
length,1273.513,1462.263,927.462,1063.116
min,0.5672,0.6954301075268815,0.38546666666666607,0.4741333333333323
max,0.0,0.0,0.0,0.0
mean,0.037758884711687486,0.04114335017773563,0.026596420279052183,0.03076533826574475
std,0.08279392402477956,0.0997869864667309,0.06220208928939339,0.07400729984347018
q1,0.053516666666666525,0.05371303763440833,0.03268333333333325,0.03704999999999984
median,0.004499999999999992,0.0027889784946236525,0.0008666666666666653,0.0008666666666666653
q3,0.000549999999999999,0.00038642473118279434,0.0,0.0
FRE,25.18358000000005,31.30369000000003,18.597689999999997,23.529250000000005
SMOGI,3.312999999999999,6.14839999999999,1.7994000000000008,2.2517999999999994
FKGL,4.359000000000005,5.1512,3.327499999999997,3.7914000000000034
CLI,7.01515000000001,9.28939000000002,5.357030000000009,7.4124399999999975
ARI,8.434600000000005,10.37799999999999,6.436999999999999,8.123500000000005
DCRS,2.07939,2.03261,1.697779999999999,2.10767
LWF,4.829290442701802,5.3489584752239745,3.932772793490855,3.9146905744972553
GFI,3.504769999999997,3.9562100000000022,2.6721600000000016,3.0591000000000013
DW,20.715,25.203,13.404,17.017
TS,4.262,4.251,3.251,3.408
FH,18.578479999999992,22.808619999999998,13.835319999999992,16.920319999999993
SP,18.88553999999999,23.072889999999994,13.875070000000019,17.269920000000006
GP,12.1879,15.306400000000004,9.136799999999987,12.28615999999998
CF,1.382199999999999,1.8458999999999985,0.9538000000000006,1.214699999999998
NERF,2.9116540551247825,4.998088325281692,3.8499880335687906,5.353075011067523
