,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.34543628003000765,0.032326176606219996,0.21740172744539635,0.15925548317197463
vocab_coverage,0.41887899241028703,0.07135301624166532,0.23953570599529125,0.18435789579794376
ave_readability,0.3372291849342294,0.14517675039096792,0.5003101139215129,0.437970608526317
ave_readability2,0.21959411689363662,0.11468192617392262,0.43799520669456793,0.3961019116886562
length,0.20331662964776673,0.056111852808006554,0.2255656401247814,0.16389504811972364
min,0.20307709654470923,0.10691918088844313,0.43105867656505537,0.3919915925616884
max,,,,
mean,0.3372825793038188,0.14519565834946851,0.500272420225771,0.4379461316683263
std,0.30544113192671696,0.1514802399838029,0.4812416930391844,0.4259374522170795
q1,0.2849419062433839,0.10435940320922431,0.43131666681151454,0.38562486284675623
median,0.03599713465958862,-0.013828764111056139,-0.016799055126705178,-0.016434727683359848
q3,,,,
FRE,0.42753735788760905,0.07111870609865872,0.3240553925723899,0.25310080519260364
SMOGI,0.2650309906890334,0.06780222024833282,0.27083787701403284,0.2209145181140077
FKGL,0.38717821908219846,0.07177723681600512,0.2797267649328112,0.22605288662880127
CLI,0.47234194457037826,0.05839750542973789,0.37136524418404604,0.28925836006586564
ARI,0.35220688125458754,0.025870335412644142,0.3136770740791278,0.24483582093883832
DCRS,0.32478908740171236,0.0631761113651378,0.28995267763692295,0.2305891881371915
LWF,0.30135965094685147,0.07940047095622464,0.18611574128050132,0.15487291543196977
GFI,0.3477660214736181,0.08523394177503286,0.25922594516277764,0.20275446307149395
DW,0.26142344985080795,0.11832340374469467,0.2888471076730051,0.22990278295703712
TS,0.27896932618583836,0.04789518082271578,0.18101287246819261,0.14255527513176622
FH,0.4146209079598439,0.07030903092237745,0.30943692991371263,0.24384096621413973
SP,0.42417886122915494,0.07180807550945881,0.30987517987625146,0.23932810780755426
GP,0.44354979855085125,0.044331334143020144,0.34178131508515625,0.2577013704573225
CF,0.4471954692668192,0.09386954175867059,0.35199777543494026,0.2788252809917345
NERF,0.24811129485562874,-0.0032010577484386698,0.23868872648510386,0.14803603387348754
