QuestionId,AnswerId,vocab_ratios,vocab_coverage,ave_readability,ave_readability2,length,min,max,mean,std,q1,median,q3,FRE,SMOGI,FKGL,CLI,ARI,DCRS,LWF,GFI,DW,TS,FH,SP,GP,CF,NERF
76378346,76378431,0.7070707070707071,0.7453703703703703,4.95072463768116,4.926666666666668,1321,4.2,5.0,4.95072463768116,0.1199313673366794,5.0,5.0,5.0,46.81,14.2,12.8,11.55,17.5,8.91,13.6,13.02,37,13th and 14th grade,86.05,85.6,39.01,3.4,4.894676890360314
76378408,76378435,0.7007874015748031,0.7774086378737541,4.928490028490027,4.901872659176032,1863,3.6666666666666665,5.0,4.928490028490028,0.23183339456394528,5.0,5.0,5.0,72.66,10.0,7.0,10.44,11.7,8.25,11.6,8.49,41,11th and 12th grade,107.03,103.13,42.91,2.2,5.335941717971496
76378340,76378439,0.5859375,0.6764705882352942,4.931884057971015,4.902222222222222,2325,4.0,5.0,4.931884057971015,0.1828328506908576,5.0,5.0,5.0,33.44,13.8,13.8,22.39,23.4,9.28,11.4,12.48,53,13th and 14th grade,77.62,74.11,21.6,4.4,5.658250036606381
76378344,76378496,0.6518987341772152,0.6956521739130435,4.91875,4.90032362459547,2070,3.066666666666667,5.0,4.918750000000001,0.23360024062623505,4.933333333333334,5.0,5.0,54.93,11.9,9.6,11.71,13.9,9.28,6.5,9.79,61,9th and 10th grade,94.21,90.91,40.49,3.2,6.408679885598378
76378323,76378505,0.6441717791411042,0.754257907542579,4.909247311827953,4.9168253968253985,2824,3.8,5.0,4.909247311827958,0.268742871443235,5.0,5.0,5.0,56.55,10.7,9.0,15.19,15.1,8.18,12.0,8.92,60,8th and 9th grade,95.85,91.22,34.8,3.1,6.250727858928958
76378468,76378523,0.7378048780487805,0.8207964601769911,4.906019766397123,4.903030303030304,2693,3.733333333333333,5.0,4.906019766397125,0.21801811067989701,4.933333333333334,5.0,5.0,64.34,10.9,10.2,10.86,14.5,7.3,11.8,10.61,43,10th and 11th grade,98.67,96.3,40.37,2.6,4.380382665473482
76378419,76378558,0.6666666666666666,0.7171428571428572,4.848605577689242,4.87536231884058,3084,3.8666666666666663,5.0,4.848605577689243,0.3026685998745683,4.866666666666666,5.0,5.0,44.81,10.5,9.4,21.32,22.3,8.5,5.090909090909091,6.73,52,8th and 9th grade,89.05,85.95,24.83,3.2,7.689222184946637
76383950,76384028,0.6534090909090909,0.7282051282051282,4.90868544600939,4.845217391304347,2718,2.933333333333333,5.0,4.90868544600939,0.2552785332490574,4.933333333333334,5.0,5.0,52.19,12.0,10.7,14.04,15.9,8.52,7.571428571428571,11.15,66,10th and 11th grade,91.46,87.05,36.13,3.4,6.095574096310912
76380624,76380646,0.6606060606060606,0.7122641509433962,4.901545253863133,4.876452599388381,2686,3.933333333333333,5.0,4.901545253863135,0.18900372968760673,4.933333333333334,5.0,5.0,49.65,12.4,11.7,11.89,14.7,8.38,8.666666666666666,11.54,69,11th and 12th grade,88.91,87.18,38.92,3.4,5.022377574476401
76380600,76380785,0.7024793388429752,0.7435897435897436,4.9546798029556625,4.931764705882354,1902,4.266666666666667,5.0,4.954679802955665,0.10527283000955477,4.933333333333334,5.0,5.0,52.9,13.6,10.4,12.59,15.4,8.18,9.0,10.29,39,9th and 10th grade,92.17,89.26,38.82,3.3,4.886206650096156
76378487,76378586,0.6715328467153284,0.7150395778364116,4.929889298892988,4.90144927536232,2162,3.6666666666666665,5.0,4.929889298892989,0.20773389294742028,5.0,5.0,5.0,62.11,11.1,11.0,7.09,13.0,7.75,8.833333333333334,11.68,37,7th and 8th grade,96.42,96.47,45.91,2.4,3.922962166835628
76380579,76380826,0.75,0.7886792452830189,4.908133971291865,4.907936507936508,1572,3.733333333333333,5.0,4.908133971291867,0.24752421115635864,4.933333333333334,5.0,5.0,62.21,11.2,11.0,9.23,14.9,8.1,11.8,12.18,39,11th and 12th grade,96.52,92.9,42.29,2.7,4.497074915370941
76383957,76384041,0.6666666666666666,0.6941176470588235,4.905932203389831,4.89922480620155,2447,4.133333333333334,5.0,4.905932203389831,0.21772368656136604,5.0,5.0,5.0,48.91,11.8,9.9,15.77,15.5,7.78,13.0,9.61,52,9th and 10th grade,90.66,86.65,34.1,3.5,3.861067213845746
76383902,76384109,0.7540983606557377,0.6838709677419355,4.922327044025158,4.874637681159422,2250,2.7333333333333334,5.0,4.922327044025157,0.25142035504111054,5.0,5.0,5.0,47.12,13.2,12.7,13.0,19.0,8.28,21.0,11.68,40,12th and 13th grade,86.36,82.46,36.68,3.6,2.4986558967079473
76378480,76378588,0.6643356643356644,0.7514285714285714,4.8846641318124195,4.891929824561405,2335,3.933333333333333,5.0,4.884664131812421,0.20814966097112872,4.866666666666666,5.0,5.0,63.9,10.2,8.3,11.31,13.6,8.18,6.25,7.72,32,7th and 8th grade,100.72,100.7,41.34,2.4,8.149658016987047
76384080,76384128,0.7288135593220338,0.777027027027027,4.926666666666666,4.907751937984497,1908,4.466666666666667,5.0,4.926666666666666,0.1385012949240988,4.933333333333334,5.0,5.0,48.13,13.2,12.3,12.25,16.2,7.81,12.6,11.23,41,12th and 13th grade,87.38,84.52,38.3,3.5,4.220255405571173
76380728,76380908,0.6313131313131313,0.6987704918032787,4.895014662756598,4.8704,3007,3.533333333333333,5.0,4.895014662756599,0.21862877590866134,4.866666666666666,5.0,5.0,56.76,11.1,8.9,12.64,12.6,8.69,6.444444444444445,9.28,79,8th and 9th grade,96.05,90.31,39.15,3.2,7.17497598916143
76384218,76384269,0.6727272727272727,0.6872586872586872,4.912359550561795,4.877477477477479,1826,3.2666666666666666,5.0,4.912359550561798,0.20507798355168635,4.933333333333334,5.0,5.0,65.22,10.1,7.8,9.74,12.6,8.98,19.333333333333332,8.21,39,7th and 8th grade,102.05,100.23,43.97,2.4,5.467485065015477
76383839,76384284,0.7213114754098361,0.7628205128205128,4.8579831932773105,4.893181818181819,1965,3.6,5.0,4.8579831932773105,0.3465438854124931,4.933333333333334,5.0,5.0,52.39,12.7,10.6,11.66,13.7,7.72,10.5,9.78,45,10th and 11th grade,91.66,89.5,40.18,3.3,3.9254980405250173
76378670,76378715,0.7171052631578947,0.6721763085399449,4.970218579234971,4.949235474006117,2101,4.266666666666667,5.0,4.970218579234973,0.08996127248624214,5.0,5.0,5.0,72.26,10.1,7.1,9.8,11.1,7.5,7.428571428571429,8.28,43,7th and 8th grade,106.62,102.7,43.83,2.2,4.676098460362695
76378383,76378734,0.7572815533980582,0.8293650793650794,4.921850079744817,4.917948717948718,1737,4.266666666666667,5.0,4.921850079744817,0.1496974828632457,4.933333333333334,5.0,5.0,44.48,13.9,13.7,14.97,20.3,8.13,11.8,13.49,38,13th and 14th grade,83.71,80.44,32.41,3.7,4.6915967509638214
76380693,76380922,0.7241379310344828,0.8052325581395349,4.934055354993983,4.911111111111113,1985,3.733333333333333,5.0,4.9340553549939825,0.15141888139132906,4.933333333333334,5.0,5.0,49.59,13.5,13.8,9.93,16.9,8.67,15.25,14.88,53,13th and 14th grade,86.34,83.0,40.21,3.3,4.598208262497275
