QuestionId,AnswerId,vocab_ratios,vocab_coverage,ave_readability,ave_readability2,length,min,max,mean,std,q1,median,q3,FRE,SMOGI,FKGL,CLI,ARI,DCRS,LWF,GFI,DW,TS,FH,SP,GP,CF,NERF
76378346,76378431,0.0,0.0,NaN,NaN,1,,,,,,,,206.84,0.0,-15.7,-15.81,0.0,0.0,-0.5,0.0,0,-1th and 0th grade,206.84,0.0,0.0,0.0,-3.0233
76378408,76378435,0.7083333333333334,0.7461928934010152,4.850340136054422,4.934640522875817,1409,3.6666666666666665,5.0,4.85034013605442,0.36486606633585206,4.933333333333334,5.0,5.0,86.1,7.7,3.9,7.11,9.8,8.0,7.7142857142857135,5.57,16,7th and 8th grade,118.03,117.02,48.71,0.9,3.8602355636539896
76378340,76378439,0.7941176470588235,0.851063829787234,4.971666666666667,4.958024691358025,270,4.733333333333333,5.0,4.971666666666668,0.06974158650969227,5.0,5.0,5.0,49.15,0.0,18.1,10.11,24.1,10.67,28.0,21.35,9,10th and 11th grade,80.9,76.33,34.38,2.7,-0.8343257801209987
76378344,76378496,0.6391752577319587,0.6586826347305389,4.9266666666666685,4.91505376344086,1134,3.8666666666666663,5.0,4.926666666666668,0.17336829484241248,4.933333333333334,5.0,5.0,58.99,10.3,8.1,12.75,14.2,10.37,5.111111111111111,7.91,35,7th and 8th grade,98.29,93.72,39.18,2.9,6.357185494416086
76378323,76378505,0.7169811320754716,0.7391304347826086,4.9598039215686285,4.957894736842105,531,4.666666666666667,5.0,4.9598039215686285,0.08095807507137152,4.933333333333334,5.0,5.0,89.24,7.0,2.7,8.95,7.3,8.19,3.2272727272727275,3.96,9,2nd and 3rd grade,121.19,117.47,44.76,0.3,2.8452673481288624
76378468,76378523,0.0,0.0,NaN,NaN,1,,,,,,,,206.84,0.0,-15.7,-15.81,0.0,0.0,-0.5,0.0,0,-1th and 0th grade,206.84,0.0,0.0,0.0,-3.0233
76378419,76378558,0.0,0.0,NaN,NaN,15,,,,,,,,-47.99,0.0,20.2,30.0,45.0,35.27,0.5,0.4,1,-1th and 0th grade,25.82,18.94,-31.26,-9.3,-1.0850328337351574
76383950,76384028,0.6805555555555556,0.7517241379310344,4.9308868501529055,4.872108843537415,853,3.8,5.0,4.930886850152906,0.1794604225514686,4.933333333333334,5.0,5.0,69.89,9.4,6.0,9.95,7.7,8.22,4.545454545454546,6.55,24,7th and 8th grade,106.74,102.34,43.71,2.0,2.8993981059436065
76380624,76380646,0.0,0.0,NaN,NaN,1,,,,,,,,206.84,0.0,-15.7,-15.81,0.0,0.0,-0.5,0.0,0,-1th and 0th grade,206.84,0.0,0.0,0.0,-3.0233
76380600,76380785,0.6428571428571429,0.6846846846846847,4.923684210526315,4.901851851851853,880,4.466666666666667,5.0,4.923684210526319,0.1137885323816496,4.866666666666666,4.966666666666667,5.0,42.98,12.8,10.1,15.64,15.4,9.41,7.875,9.61,22,9th and 10th grade,87.21,84.7,34.12,3.5,6.852113646552084
76378487,76378586,0.0,0.0,NaN,NaN,13,,,,,,,,-47.99,0.0,20.2,24.2,35.6,19.48,0.5,40.4,1,19th and 20th grade,25.82,18.94,-21.56,-9.3,-2.257860918333561
76380579,76380826,0.0,0.0,NaN,NaN,9,,,,,,,,36.62,0.0,8.4,1.0,16.8,19.48,-0.5,0.4,1,-1th and 0th grade,85.82,81.24,17.25,-14.2,-2.312405068333561
76383957,76384041,0.0,0.0,NaN,NaN,1,,,,,,,,206.84,0.0,-15.7,-15.81,0.0,0.0,-0.5,0.0,0,-1th and 0th grade,206.84,0.0,0.0,0.0,-3.0233
76383902,76384109,0.6153846153846154,0.5801980198019802,4.931968145620022,4.900641025641027,3657,3.8,5.0,4.931968145620022,0.2043841488222883,5.0,5.0,5.0,35.0,15.0,15.2,14.51,21.8,8.26,13.2,12.85,56,14th and 15th grade,76.69,74.2,32.82,4.1,5.359519051796013
76378480,76378588,0.8448275862068966,0.911504424778761,4.937864077669904,4.9156462585034015,633,4.2,5.0,4.9378640776699045,0.127801807160422,4.933333333333334,5.0,5.0,74.93,10.4,8.2,7.95,11.2,7.78,11.4,10.12,12,7th and 8th grade,106.81,104.48,45.43,2.0,0.8742500962133111
76384080,76384128,0.7941176470588235,0.7936507936507936,4.8933333333333335,4.9111111111111105,447,4.533333333333333,5.0,4.8933333333333335,0.1643843734125061,4.866666666666666,5.0,5.0,52.46,9.9,8.5,12.56,13.8,8.71,6.7,4.93,9,8th and 9th grade,94.23,89.81,39.14,3.0,4.30709197880735
76380728,76380908,0.6823529411764706,0.6906077348066298,4.921066666666666,4.914942528735632,1063,4.333333333333333,5.0,4.9210666666666665,0.13633527300983656,4.933333333333334,5.0,5.0,59.3,9.9,8.0,12.8,11.6,8.48,6.111111111111111,7.11,23,7th and 8th grade,98.6,93.0,39.2,2.9,3.824892280979924
76384218,76384269,0.7833333333333333,0.7901234567901234,4.944791666666667,4.939007092198582,480,4.333333333333333,5.0,4.944791666666668,0.11934700078855034,4.933333333333334,5.0,5.0,64.1,10.4,8.2,9.86,10.3,9.88,8.5,9.83,21,9th and 10th grade,100.93,99.38,43.85,2.5,4.706447820469148
76383839,76384284,0.734375,0.7798165137614679,4.853333333333335,4.896453900709219,698,3.6,5.0,4.853333333333335,0.3662635930690392,4.933333333333334,5.0,5.0,49.96,13.7,11.6,13.52,15.1,9.6,13.2,11.88,22,13th and 14th grade,89.22,86.31,36.26,3.4,6.02032361237055
76378670,76378715,0.6833333333333333,0.7263157894736842,4.985507246376812,4.9821138211382126,588,4.733333333333333,5.0,4.985507246376812,0.039103587139802984,5.0,5.0,5.0,61.87,10.8,9.1,12.29,13.5,9.49,10.9,10.27,16,10th and 11th grade,98.68,97.34,39.05,2.7,2.6284957947917897
76378383,76378734,0.8305084745762712,0.8467741935483871,4.9492063492063485,4.931972789115646,750,4.266666666666667,5.0,4.949206349206351,0.12565976050201208,5.0,5.0,5.0,55.58,11.2,11.5,10.39,14.9,7.85,11.8,10.93,15,11th and 12th grade,92.36,91.98,41.05,2.9,2.5882793516191915
76380693,76380922,0.7254901960784313,0.7604166666666666,4.9534246575342475,4.94054054054054,520,4.533333333333333,5.0,4.9534246575342475,0.10566016660753057,5.0,5.0,5.0,62.07,13.0,9.0,6.61,10.0,8.82,12.4,10.22,14,8th and 9th grade,98.89,96.49,48.59,2.7,2.0161313558822878
76378708,76378750,0.6222222222222222,0.6049382716049383,4.9714285714285715,4.961904761904762,517,4.666666666666667,5.0,4.9714285714285715,0.07253117243679909,5.0,5.0,5.0,65.32,9.4,7.7,7.65,9.3,10.05,8.2,7.98,18,7th and 8th grade,102.15,100.72,47.45,2.4,2.581642577858341
76383859,76384297,0.7543859649122807,0.8134715025906736,4.9749469214437365,4.968992248062016,1117,4.466666666666667,5.0,4.974946921443737,0.08426494553956441,5.0,5.0,5.0,55.47,10.4,11.5,10.16,13.1,6.88,14.75,10.68,19,10th and 11th grade,92.26,90.39,41.37,3.0,-0.21480928905759633
76380850,76380929,0.6666666666666666,0.6153846153846154,4.942424242424242,4.925757575757576,1345,4.266666666666667,5.0,4.942424242424244,0.14255313316774654,4.933333333333334,5.0,5.0,-5.92,15.9,18.5,22.21,25.7,9.7,12.833333333333334,11.0,34,12th and 13th grade,50.58,46.44,22.37,6.7,8.230117384461415
76380934,76380982,0.6521739130434783,0.6893939393939394,4.961904761904762,4.96,851,4.733333333333333,5.0,4.961904761904762,0.08098469512343141,4.966666666666667,5.0,5.0,67.55,10.5,6.9,13.09,14.0,9.55,6.222222222222222,7.43,19,6th and 7th grade,104.4,98.9,38.63,2.4,3.9701192955079225
76378592,76378760,0.7297297297297297,0.8,4.955000000000001,4.94567901234568,283,4.466666666666667,5.0,4.955000000000001,0.10369560153534851,4.933333333333334,5.0,5.0,46.11,0.0,19.3,8.08,25.1,11.17,27.0,21.6,11,10th and 11th grade,77.84,75.85,36.77,2.6,-0.6857949296421566
