QuestionId,AnswerId,vocab_ratios,vocab_coverage,ave_readability,ave_readability2,length,min,max,mean,std,q1,median,q3,FRE,SMOGI,FKGL,CLI,ARI,DCRS,LWF,GFI,DW,TS,FH,SP,GP,CF,NERF
76378346,76378431,0.7792207792207793,0.8082191780821918,4.941619585687382,4.934444444444444,1396,4.0,5.0,4.941619585687382,0.12649761111442515,5.0,5.0,5.0,51.68,14.3,10.9,11.6,13.7,6.73,16.75,10.22,23,10th and 11th grade,90.95,87.32,40.04,3.4,2.1719578314384504
76378408,76378435,0.8235294117647058,0.8888888888888888,4.9490740740740735,4.927380952380952,840,3.6666666666666665,5.0,4.949074074074074,0.14719310217481785,5.0,5.0,5.0,61.29,12.7,11.3,6.8,11.8,7.23,12.0,13.18,18,11th and 12th grade,95.61,94.9,46.1,2.5,0.17664437011261747
76378340,76378439,0.8529411764705882,0.900709219858156,4.946456692913385,4.924137931034482,804,3.4,5.0,4.946456692913386,0.21132244026319585,5.0,5.0,5.0,64.75,11.9,10.0,8.36,12.4,7.84,11.8,12.18,23,11th and 12th grade,99.07,94.95,44.63,2.7,1.1172861649426427
76378344,76378496,0.8235294117647058,0.88,4.932828282828282,4.957142857142857,806,4.666666666666667,5.0,4.932828282828282,0.10066988158663685,4.866666666666666,5.0,5.0,78.08,8.1,7.0,6.38,8.7,7.33,6.571428571428571,7.94,13,6th and 7th grade,109.97,108.78,49.14,1.7,1.767325058837156
76378323,76378505,0.6981132075471698,0.7301587301587301,4.965217391304349,4.936936936936937,704,3.8,5.0,4.965217391304348,0.13882817408496287,5.0,5.0,5.0,73.1,6.7,8.9,10.39,13.7,8.31,10.4,10.04,16,8th and 9th grade,104.97,101.97,41.25,2.1,1.4247513442993416
76378468,76378523,0.8043478260869565,0.8373983739837398,4.909708737864077,4.936036036036038,1453,3.733333333333333,5.0,4.909708737864078,0.2761708845141272,4.95,5.0,5.0,46.91,13.2,12.7,10.91,14.1,6.99,15.25,11.33,25,10th and 11th grade,86.16,85.58,40.11,3.4,1.7565531048883054
76378419,76378558,0.7432432432432432,0.8117647058823529,4.907246376811594,4.915151515151516,1012,3.933333333333333,5.0,4.907246376811594,0.24820577181036785,5.0,5.0,5.0,76.42,5.4,5.5,11.3,10.5,6.99,4.2,5.24,20,5th and 6th grade,110.8,109.23,41.8,1.6,2.0954467030821995
76383950,76384028,0.8157894736842105,0.8318181818181818,4.952276867030965,4.913978494623656,1260,3.4,5.0,4.952276867030966,0.1454615202898128,5.0,5.0,5.0,56.66,10.6,9.0,9.79,10.1,6.3,10.5,8.19,21,10th and 11th grade,95.95,94.84,43.79,2.8,1.514525588267226
76380624,76380646,0.6721311475409836,0.6470588235294118,4.942087542087543,4.915447154471544,910,4.466666666666667,5.0,4.942087542087542,0.13083396993869084,5.0,5.0,5.0,44.91,10.6,9.4,14.12,13.2,7.7,4.583333333333333,6.08,17,10th and 11th grade,89.15,86.96,36.45,3.1,3.007271219869244
76380600,76380785,0.8354430379746836,0.89171974522293,4.923333333333333,4.881818181818183,914,3.066666666666667,5.0,4.923333333333333,0.2142428528562855,4.933333333333334,5.0,5.0,60.35,11.2,9.6,9.52,11.3,7.36,14.25,10.58,23,9th and 10th grade,97.15,96.56,43.68,2.7,2.1916170463547058
76378487,76378586,0.7,0.758893280632411,4.946180555555555,4.917460317460318,1396,3.6666666666666665,5.0,4.946180555555555,0.19352180657981052,5.0,5.0,5.0,71.65,9.4,7.4,6.2,8.4,6.87,7.142857142857142,8.05,21,6th and 7th grade,106.01,106.15,49.67,2.0,1.6638123319326716
76380579,76380826,0.8529411764705882,0.8893617021276595,4.92695374800638,4.906896551724138,1287,3.733333333333333,5.0,4.92695374800638,0.20426531643472912,4.933333333333334,5.0,5.0,70.67,10.5,9.8,7.84,12.7,6.28,19.0,11.18,16,10th and 11th grade,102.52,97.27,44.62,2.4,-0.4700012890170582
76383957,76384041,0.704225352112676,0.7456647398843931,4.955555555555556,4.937333333333333,965,4.133333333333334,5.0,4.955555555555556,0.16017504062911853,5.0,5.0,5.0,63.63,10.0,10.4,8.13,12.5,7.34,13.75,11.16,21,9th and 10th grade,97.95,95.7,44.67,2.6,0.7328773174839949
76383902,76384109,0.6071428571428571,0.56,4.925757575757576,4.9098039215686295,3979,3.8,5.0,4.925757575757576,0.21146853825921277,5.0,5.0,5.0,34.7,15.0,15.4,15.03,22.7,7.99,13.2,12.59,57,14th and 15th grade,76.38,72.62,31.91,4.2,5.017427235683586
76378480,76378588,0.8133333333333334,0.8670520231213873,4.946222222222221,4.936612021857924,977,4.533333333333333,5.0,4.9462222222222225,0.1011626242404273,4.933333333333334,5.0,5.0,77.33,10.4,5.2,8.33,7.2,6.78,6.111111111111111,6.8,16,6th and 7th grade,111.72,106.25,46.6,1.8,2.975008731067736
76384080,76384128,0.8,0.8714285714285714,4.943715846994535,4.924358974358973,797,4.466666666666667,5.0,4.943715846994537,0.11735410018759457,4.95,5.0,5.0,59.98,11.6,11.8,8.48,14.5,7.84,14.5,13.77,19,11th and 12th grade,94.28,90.73,42.86,2.8,-0.6454710322571682
76380728,76380908,0.6722689075630253,0.75,4.9453216374269,4.925000000000002,1646,3.8666666666666663,5.0,4.9453216374269005,0.11893182749079957,4.933333333333334,5.0,5.0,72.36,9.3,7.1,8.12,8.9,7.64,10.6,7.73,32,7th and 8th grade,106.72,102.65,46.68,2.2,4.121976684652038
76384218,76384269,0.7241379310344828,0.7909604519774012,4.9209523809523805,4.878306878306879,1024,3.2666666666666666,5.0,4.920952380952381,0.20680267633368657,4.933333333333334,5.0,5.0,58.52,13.0,10.3,10.1,12.9,8.7,15.75,12.23,34,12th and 13th grade,95.32,90.23,42.0,3.1,3.8546156020095834
76383839,76384284,0.6770833333333334,0.7891373801916933,4.877462887989203,4.873846153846155,1853,3.6,5.0,4.8774628879892035,0.3102542676757288,4.933333333333334,5.0,5.0,70.23,11.3,7.9,9.92,11.4,7.23,10.333333333333334,9.0,33,7th and 8th grade,104.58,101.45,42.99,2.3,2.0510516220225616
76378670,76378715,0.75,0.7920792079207921,4.974166666666667,4.9616161616161625,569,4.6,5.0,4.974166666666667,0.07992618122020123,5.0,5.0,5.0,71.18,9.5,9.6,7.84,12.7,7.39,13.5,12.1,11,9th and 10th grade,103.03,100.78,44.87,2.1,-0.9146398066379868
76378383,76378734,0.7777777777777778,0.7823529411764706,4.967919799498747,4.944047619047619,1006,4.266666666666667,5.0,4.967919799498747,0.09932150903010188,5.0,5.0,5.0,61.77,10.7,9.1,10.5,12.1,6.78,8.666666666666666,8.65,17,8th and 9th grade,98.58,95.3,41.95,2.8,1.623197875526901
76380693,76380922,0.8392857142857143,0.8648648648648649,4.9640625,4.950354609929078,784,4.133333333333334,5.0,4.964062500000001,0.10636100206568506,5.0,5.0,5.0,72.5,11.2,9.1,5.58,11.1,7.13,14.0,10.71,13,10th and 11th grade,104.36,99.34,49.08,2.3,0.13028003428276858
76378708,76378750,0.7735849056603774,0.8319327731092437,4.95016835016835,4.947967479674797,651,4.466666666666667,5.0,4.950168350168351,0.12184272924785662,5.0,5.0,5.0,72.7,11.2,9.0,6.68,11.4,7.21,15.0,10.86,12,6th and 7th grade,104.56,100.32,47.34,2.2,-2.0686680738804455
76383859,76384297,0.7796610169491526,0.8280542986425339,4.979234972677596,4.952173913043478,1278,4.266666666666667,5.0,4.979234972677596,0.07396251066967711,5.0,5.0,5.0,60.58,10.1,11.6,8.77,14.9,7.01,13.75,12.24,18,11th and 12th grade,94.89,92.7,42.52,2.7,-0.46443482864316543
76380850,76380929,0.775,0.8076923076923077,4.882539682539682,4.873118279569893,960,3.2666666666666666,5.0,4.882539682539683,0.3196590524308008,4.933333333333334,5.0,5.0,49.25,13.7,11.8,11.95,14.2,8.33,14.0,11.11,27,11th and 12th grade,88.5,86.85,38.67,3.4,4.2762620610730195
76380934,76380982,0.803030303030303,0.8478260869565217,4.939601139601139,4.904402515723271,779,4.0,5.0,4.939601139601138,0.13275741888273856,4.933333333333334,5.0,5.0,57.4,11.5,10.8,8.99,12.3,8.3,11.8,10.99,23,11th and 12th grade,94.2,92.39,43.46,2.9,1.0981083449645972
