QuestionId,AnswerId,vocab_ratios,vocab_coverage,ave_readability,ave_readability2,length,min,max,mean,std,q1,median,q3,FRE,SMOGI,FKGL,CLI,ARI,DCRS,LWF,GFI,DW,TS,FH,SP,GP,CF,NERF
76378346,76378431,0.6923076923076923,0.745398773006135,4.927572016460905,4.903703703703704,2091,4.0,5.0,4.927572016460906,0.1457324772272682,4.933333333333334,5.0,5.0,53.31,13.3,10.3,11.95,14.5,6.65,13.6,8.74,29,13th and 14th grade,92.58,87.1,39.58,3.5,3.3136833430141204
76378408,76378435,0.7142857142857143,0.7922705314009661,4.906504065040649,4.95,1263,3.6666666666666665,5.0,4.906504065040651,0.27415497290851276,4.983333333333333,5.0,5.0,86.3,7.9,3.8,6.12,7.1,7.84,6.5,5.78,20,7th and 8th grade,118.23,117.09,49.96,0.9,3.459637340125296
76378340,76378439,0.7368421052631579,0.7849462365591398,4.968493150684932,4.953333333333333,1212,4.2,5.0,4.968493150684932,0.10089257830959378,5.0,5.0,5.0,64.91,10.1,7.9,12.11,12.4,8.19,10.333333333333334,7.49,31,7th and 8th grade,101.74,97.5,39.82,2.6,4.432457490556505
76378344,76378496,0.6071428571428571,0.5053410024650781,4.962493224932249,4.925490196078432,6707,4.066666666666666,5.0,4.962493224932249,0.08481191635344539,5.0,5.0,5.0,38.38,7.2,9.8,15.15,15.3,0.64,3.916666666666667,3.18,8,3rd and 4th grade,85.09,78.86,34.38,3.4,-0.21742695525495837
76378323,76378505,0.5797101449275363,0.6589595375722543,4.850730994152047,4.931666666666667,6110,3.8,5.0,4.850730994152047,0.3667855359610569,4.933333333333334,5.0,5.0,4.34,10.5,14.6,32.61,31.6,5.57,5.4,4.1,33,5th and 6th grade,60.88,55.66,5.07,5.2,2.72933387932302
76378468,76378523,0.8088235294117647,0.7991596638655463,4.93200140203295,4.911515151515152,6766,3.466666666666667,5.0,4.932001402032949,0.15278113279935018,4.933333333333334,5.0,5.0,75.24,7.9,8.1,7.54,11.2,1.39,10.6,8.66,18,7th and 8th grade,107.11,107.38,46.26,1.8,-2.0303859822519037
76378419,76378558,0.6375,0.6220362622036262,4.82899850523169,4.882352941176471,6330,3.8666666666666663,5.0,4.82899850523169,0.3432836881949466,4.933333333333334,5.0,5.0,45.32,9.9,9.2,21.31,23.9,5.37,4.909090909090909,4.07,29,4th and 5th grade,89.56,87.43,24.51,3.0,3.7065302345341093
76383950,76384028,0.7282608695652174,0.7615176151761518,4.948754448398577,4.933333333333333,2397,3.466666666666667,5.0,4.948754448398577,0.15453929864281146,4.933333333333334,5.0,5.0,58.99,9.9,8.1,12.11,12.4,6.06,8.142857142857142,6.01,29,9th and 10th grade,98.29,92.19,40.27,3.0,2.249990057428845
76380624,76380646,0.6142857142857143,0.541083916083916,4.916855142703284,4.917829457364341,8360,4.466666666666667,5.0,4.916855142703286,0.16898617631860255,4.933333333333334,5.0,5.0,11.58,11.8,13.9,23.28,21.9,1.09,6.181818181818182,4.04,20,13th and 14th grade,65.66,59.37,21.24,5.2,0.8932341534033483
76380600,76380785,0.6885245901639344,0.689289501590668,4.95374358974359,4.89047619047619,7387,2.7333333333333334,5.0,4.95374358974359,0.16698585609003622,4.933333333333334,5.0,5.0,36.66,11.7,10.5,17.43,18.5,1.13,5.666666666666667,4.13,19,11th and 12th grade,83.35,78.56,30.96,3.7,-0.10580019185334333
76378487,76378586,0.5666666666666667,0.5352112676056338,4.984210526315789,4.972549019607843,2760,4.666666666666667,5.0,4.984210526315789,0.05605805371463312,5.0,5.0,5.0,64.2,8.1,8.2,11.08,12.4,8.48,10.25,6.2,4,7th and 8th grade,101.03,98.89,41.9,2.5,0.9723702515491439
76380579,76380826,0.8125,0.8811387900355871,4.895799676898223,4.89059829059829,7812,3.6,5.0,4.895799676898223,0.30221218491318574,4.933333333333334,5.0,5.0,61.03,9.4,13.5,6.45,17.6,1.97,13.75,14.21,8,13th and 14th grade,92.83,92.06,44.12,2.3,-2.371176243244678
76383957,76384041,0.7142857142857143,0.7504672897196262,4.949356579493566,4.909333333333334,6101,4.133333333333334,5.0,4.949356579493566,0.1381570909361147,5.0,5.0,5.0,66.03,10.4,7.5,8.17,7.4,1.43,7.857142857142858,6.04,35,7th and 8th grade,102.87,99.55,46.86,2.5,-0.4686080376860895
76383902,76384109,0.6086956521739131,0.5288888888888889,4.942016806722689,4.919047619047619,3572,3.8,5.0,4.942016806722689,0.1826745068178832,5.0,5.0,5.0,22.58,16.6,17.9,16.66,27.1,8.04,13.2,13.87,36,16th and 17th grade,66.71,64.41,28.36,4.7,4.273064171300238
