,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.34492325629408344,0.031927929940396484,0.46748419066164004,0.2488274115702373
vocab_coverage,0.4138761537795672,0.06800376101624171,0.44485799011154653,0.2609297031154247
ave_readability,0.3369800957282648,0.1451205125149353,0.5030989426123147,0.41283800693672823
ave_readability2,0.22108300691947821,0.11449877922913272,0.4046265496597503,0.31948044548554433
length,0.20331662964776673,0.056111852808006554,0.43046635114661147,0.15322564297531346
min,0.20322299781888456,0.10666542282061989,0.33094931713983744,0.2580882782275991
max,,,,
mean,0.33696519804870084,0.14507815387641443,0.5030340985256276,0.4127544924798844
std,0.30656245518932695,0.15204799501153363,0.48345398745398743,0.3919004479004479
q1,0.28843540888926944,0.11302068507465421,0.40938526586677254,0.3296254992510989
median,0.0411559627577507,-0.012796453755033271,-0.007539818154793558,-0.007539818154793558
q3,,,,
FRE,0.4263204037423694,0.06606834824555957,0.43140330332534665,0.2511536467500043
SMOGI,0.2745559648838505,0.0719778733300166,0.4342595778317527,0.3329407416152702
FKGL,0.3860705819541602,0.0681144868945126,0.38905607627876454,0.23520585719914386
CLI,0.47374020159782043,0.05842559715104642,0.4951074234348977,0.2866863057680891
ARI,0.3543345830642611,0.02989232123401479,0.3938920529543741,0.18980249646925804
DCRS,0.32068443730248375,0.06385699616421191,0.2051608153215748,0.11283459340420432
LWF,0.29767466008309373,0.08503678363979279,0.32737396520892165,0.2727530161933834
GFI,0.3465328274040892,0.08937067256802553,0.3679775355394308,0.22585780417636547
DW,0.2629023949241971,0.11901915383436493,0.40104829709748385,0.19140771526965442
TS,0.27388156630115695,0.05265711041633851,0.27757211883661403,0.19836911350774913
FH,0.41311665711793893,0.0642251298613635,0.41440794263111874,0.2436794750710856
SP,0.4252145247472004,0.07316043238436509,0.43732537324695014,0.2514497385610475
GP,0.44617708613284085,0.046709179479978755,0.4502963577751438,0.2377095204878547
CF,0.4466861193396672,0.0929726822441577,0.50673239261199,0.3236363331757439
NERF,0.24555492029158502,-0.00926569085012412,0.2870993870993871,0.08088468888468889
