,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.34492325629408344,0.031927929940396484,0.34318885212761996,0.28213789865770045
vocab_coverage,0.4138761537795672,0.06800376101624171,0.3617715053039446,0.30630851400236797
ave_readability,0.33694951431071163,0.145079460332324,0.40987698262379907,0.3728324109317577
ave_readability2,0.22118279859101617,0.11442483217758309,0.3935403395781507,0.38047477572345756
length,0.20331662964776673,0.056111852808006554,-0.10479574239259272,-0.13086887119894683
min,0.20322299781888456,0.10666542282061989,0.2914773936125821,0.29185191773369606
max,,,,
mean,0.3369197805045026,0.14504643351644225,0.4098889252518253,0.3728424626506902
std,0.3065574941034134,0.15204799501153363,0.393502934205698,0.3646550837521519
q1,0.28843540888926944,0.11302068507465421,0.3026326406774245,0.26130928105438933
median,0.0411559627577507,-0.012796453755033271,0.06814026059510422,0.07858727861593663
q3,,,,
FRE,0.4263204037423694,0.06606834824555957,0.2882472009438078,0.22783134507789823
SMOGI,0.2745559648838505,0.0719778733300166,0.28011669098992453,0.2307287213266136
FKGL,0.3860705819541602,0.0681144868945126,0.2701666271281124,0.21997816578802648
CLI,0.47374020159782043,0.05842559715104642,0.28998238320182007,0.22030026641393743
ARI,0.3543345830642611,0.02989232123401479,0.22690738718379813,0.17124902617951815
DCRS,0.32068443730248375,0.06385699616421191,0.07807637725420626,0.05300389978691345
LWF,0.29767466008309373,0.08503678363979279,0.22179877246655877,0.18064059746796646
GFI,0.3465328274040892,0.08937067256802553,0.21927732780551212,0.18400731248335706
DW,0.2629023949241971,0.11901915383436493,0.24100356978698956,0.1801636306374605
TS,0.27388156630115695,0.05265711041633851,0.20493376139987085,0.1590185629505079
FH,0.41311665711793893,0.0642251298613635,0.2797704524964672,0.2225327633302739
SP,0.4252145247472004,0.07316043238436509,0.24841045554711255,0.18303206280189016
GP,0.44617708613284085,0.046709179479978755,0.22774477646050098,0.15216098474141865
CF,0.4466861193396672,0.0929726822441577,0.33016401619878694,0.2679084370204471
NERF,0.24555492029158502,-0.00926569085012412,0.21156155318456663,0.16259528913771068
