,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.0183021658140424,0.0430661015538707,0.12961939942853548,0.1543400271413223
vocab_coverage,0.024151644244843163,0.05844893437870582,0.1321723895081512,0.15414545317489703
ave_readability,0.0030365155359448528,0.0035381546699778917,0.006849052410136303,0.007619201323452503
ave_readability2,0.002703156850151044,0.0033589819365847846,0.00444627285273402,0.005205848749740378
length,6521982.479,6956971.053,38076907.466,34175278.895
min,0.61456,0.8068189964157706,0.6402986385595082,0.7540275796481218
max,0.0,0.0,0.0006148440931049626,0.0009256617530511965
mean,0.003036515535944849,0.0035381546699778865,0.006849052410136302,0.007619201323452498
std,0.012484671683655933,0.017975583095998844,0.018935195119626606,0.022098488234369863
q1,0.007689166666666674,0.007736335125448034,0.02468342848777632,0.02423363449041053
median,0.0008122222222222214,0.00042674731182795695,0.004391743522178306,0.005135520684736092
q3,7.583333333333305e-05,4.6202956989246985e-05,0.0012435953740301561,0.0019828815977175457
FRE,1866.7714674000001,2304.9543199,63131.767663599996,97612.34868469999
SMOGI,26.415239999999997,61.85378000000001,65.9741,80.71821000000001
FKGL,73.08042,59.03482000000001,3781.9155900000005,3855.52392
CLI,145.3586796,199.05134239999998,11182.5588974,335137.5864238999
ARI,219.31806,222.17128,21130.459600000002,245869.67118999996
DCRS,10.0381601,9.533164300000001,98.80498680000001,250.41629740000005
LWF,56.92100286916948,56.45665412173089,156.27963255121676,264.9276618525176
GFI,56.081009300000005,31.282035700000005,2992.7257276,2269.0663344
DW,1086.572,1335.572,1109.786,1208.944
TS,72.759,36.182,2944.218,2506.822
FH,1069.1789931,1201.4244149,41989.613203,57041.498878000006
SP,1113.7845249999998,1218.3118075000002,40906.6119781,57242.18087970001
GP,442.67833830000006,542.2180357,33352.4471054,941953.8729428999
CF,5.320819999999999,8.46301,124.95724000000001,240.17882999999998
NERF,15.600087092714562,36.61644056659991,1237.4654558093014,1085.291441822213
