,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.10679073723178904,0.18665249136806233,0.09574083128224674,0.11025248875977775
vocab_coverage,0.12215125573122956,0.21842114425362819,0.1636925790129555,0.18670657834609455
ave_readability,0.03948288983909211,0.044813063662633476,0.03945919995486756,0.040267272819763174
ave_readability2,0.03993179100768945,0.04521567778093985,0.08200801086636153,0.08250123287776477
length,1235.017,1386.241,979.349,977.46
min,0.569,0.6967741935483871,0.7853333333333332,0.7916666666666666
max,0.0,0.0,0.0,0.0
mean,0.03948288983909211,0.04481306366263345,0.03945919995486746,0.040267272819763104
std,0.08605892419422001,0.1053691839848429,0.0904576881055781,0.09290464323100274
q1,0.053633333333333345,0.05762768817204301,0.04880000000000006,0.049150000000000055
median,0.004799999999999992,0.0030241935483870924,0.0006999999999999984,0.0006999999999999984
q3,0.000549999999999999,0.00038642473118279434,0.0,0.0
FRE,26.08137,32.255199999999995,23.365129999999997,24.22628
SMOGI,3.5101999999999998,6.1996,3.3158000000000003,3.4265
FKGL,4.597899999999999,5.4825,4.1943,4.3623
CLI,7.29367,9.412049999999999,6.2318999999999996,6.71146
ARI,8.839900000000002,10.8549,7.2151999999999985,7.6629
DCRS,2.10219,2.1403499999999998,1.41583,1.4889299999999999
LWF,5.444408100731771,6.100095073300826,5.6774166961224495,5.721832605213358
GFI,3.6550199999999995,4.14356,4.27619,4.59845
DW,19.856,23.558,27.276,25.962
TS,4.427,4.46,4.082,4.101
FH,19.34288,23.72074,17.40103,18.01409
SP,19.803549999999998,24.13538,17.81082,18.45934
GP,12.64064,15.725439999999999,10.72562,11.42898
CF,1.4307,1.89,1.3043999999999998,1.3448000000000002
NERF,2.820566356759218,4.482677909896884,2.434774370543184,2.7072164756014963
