QuestionId,AnswerId,vocab_ratios,vocab_coverage,ave_readability,ave_readability2,length,min,max,mean,std,q1,median,q3,FRE,SMOGI,FKGL,CLI,ARI,DCRS,LWF,GFI,DW,TS,FH,SP,GP,CF,NERF
76378346,76378431,0.75,0.7886178861788617,4.883848797250859,4.849999999999999,831,3.6666666666666665,5.0,4.8838487972508595,0.23039949378592886,4.866666666666666,5.0,5.0,47.38,14.0,10.5,12.58,12.8,7.48,10.714285714285714,9.41,20,10th and 11th grade,89.13,84.59,38.87,3.7,2.316870422466085
76378408,76378435,0.8,0.9197247706422018,4.987531172069826,4.980555555555555,2469,4.733333333333333,5.0,4.987531172069826,0.04971211871704735,5.0,5.0,5.0,69.38,10.4,6.2,6.06,4.3,0.84,6.444444444444445,4.44,6,5th and 6th grade,106.23,105.29,50.1,1.8,-2.5286608449017773
76378340,76378439,0.7377049180327869,0.8396946564885496,4.972727272727273,4.949629629629629,710,4.4,5.0,4.972727272727273,0.08729166461205673,5.0,5.0,5.0,78.48,8.8,6.8,6.78,8.7,7.52,8.333333333333334,9.44,14,8th and 9th grade,110.38,110.2,48.06,1.6,1.0892142525080883
76378344,76378496,0.6078431372549019,0.6813186813186813,4.959139784946238,4.965591397849463,2885,4.733333333333333,5.0,4.959139784946237,0.07884001195622956,5.0,5.0,5.0,74.39,8.8,6.3,8.63,8.1,8.32,6.916666666666667,7.45,14,8th and 9th grade,108.76,103.68,46.07,2.1,2.084327519127739
76378323,76378505,0.868421052631579,0.8533333333333334,4.909375000000001,4.907070707070707,419,3.8,5.0,4.909375,0.2410530103928272,5.0,5.0,5.0,75.71,8.8,5.8,6.19,6.1,7.2,6.333333333333333,7.13,10,6th and 7th grade,110.09,108.78,50.09,1.7,1.5160732480132513
76378468,76378523,0.8333333333333334,0.9660908509277031,4.809139072847683,4.898666666666666,8904,3.466666666666667,5.0,4.809139072847683,0.3856537817504062,4.733333333333333,5.0,5.0,-27.19,21.2,41.2,10.35,49.4,5.04,7.2857142857142865,39.01,18,40th and 41st grade,11.7,9.13,16.91,4.3,-8.58733785421547
76378419,76378558,0.5454545454545454,0.8793969849246231,4.877333333333333,4.8999999999999995,1293,3.933333333333333,5.0,4.8773333333333335,0.3391687317124451,5.0,5.0,5.0,87.42,4.9,3.4,8.09,8.1,5.39,4.1,3.92,9,3rd and 4th grade,119.35,115.49,46.5,0.8,-0.7607635386748837
76383950,76384028,0.8541666666666666,0.8636363636363636,4.9640350877192985,4.952845528455285,484,4.466666666666667,5.0,4.9640350877192985,0.10170522103228634,5.0,5.0,5.0,70.53,8.2,7.8,7.42,8.1,7.92,8.6,8.4,15,7th and 8th grade,104.89,103.57,47.26,2.2,0.8997853337168928
76380624,76380646,0.5,0.4820065430752454,4.932428355957767,4.911111111111111,9244,4.466666666666667,5.0,4.932428355957769,0.16175006174332301,5.0,5.0,5.0,-37.26,11.5,20.2,35.16,34.1,0.9,4.642857142857143,3.2,12,11th and 12th grade,31.6,24.26,0.56,7.5,1.6976511821296363
76380600,76380785,0.8125,0.8129967274427302,4.952731454859114,4.94871794871795,11756,4.6,5.0,4.952731454859114,0.09058648962051753,4.933333333333334,5.0,5.0,68.1,12.1,8.7,8.01,9.6,1.07,10.5,8.06,10,8th and 9th grade,102.44,97.37,45.93,2.6,-2.5712616892517977
76378487,76378586,0.0,0.0,NaN,NaN,2487,,,,,,,,206.84,0.0,-15.7,-15.81,0.0,0.0,-1.0,0.0,0,-1th and 0th grade,206.84,0.0,0.0,0.0,-3.0233
76380579,76380826,0.8333333333333334,0.8545454545454545,4.9758865248226956,4.966666666666666,299,4.666666666666667,5.0,4.9758865248226956,0.06365618630444506,5.0,5.0,5.0,74.69,10.1,6.2,7.07,6.2,8.11,7.25,9.1,10,6th and 7th grade,109.07,104.5,48.8,2.1,1.5174361196028299
76383957,76384041,0.78125,0.6368421052631579,4.917079889807162,4.856,2194,3.533333333333333,5.0,4.917079889807162,0.27907151916585454,5.0,5.0,5.0,57.3,9.0,10.8,9.7,11.7,1.77,4.666666666666667,9.45,13,9th and 10th grade,94.09,88.71,42.74,3.2,-0.2237753241713274
76383902,76384109,0.6013986013986014,0.5136842105263157,4.939344262295081,4.917054263565891,4034,3.8,5.0,4.939344262295081,0.18554387112946896,5.0,5.0,5.0,25.93,16.0,16.6,17.76,26.8,7.91,10.5,12.6,39,12th and 13th grade,70.08,65.38,27.2,4.8,4.426974820487732
76378480,76378588,0.9,0.9799599198396793,4.944103612815269,4.907407407407407,2475,4.4,5.0,4.94410361281527,0.13252094770174028,5.0,5.0,5.0,88.87,4.2,4.9,4.7,5.9,1.04,7.333333333333334,6.48,3,4th and 5th grade,118.32,118.13,52.33,1.0,-2.807916880294036
76384080,76384128,0.8378378378378378,0.8783783783783784,4.953846153846155,4.95483870967742,438,4.6,5.0,4.953846153846154,0.10322861653404013,5.0,5.0,5.0,69.82,10.1,8.1,9.11,10.9,6.92,10.625,8.42,8,10th and 11th grade,104.17,99.83,44.7,2.5,0.5701325457744186
76380728,76380908,0.7241379310344828,0.6481481481481481,4.9314285714285715,4.93015873015873,311,4.333333333333333,5.0,4.931428571428571,0.16598773279264267,5.0,5.0,5.0,46.23,9.4,8.8,13.77,12.8,7.51,4.3,5.23,7,8th and 9th grade,90.48,84.67,36.97,3.1,2.0180274999999988
76384218,76384269,0.8666666666666667,0.8469387755102041,4.9606425702811245,4.965811965811966,506,4.666666666666667,5.0,4.9606425702811245,0.09654605109279815,5.0,5.0,5.0,80.31,7.2,6.1,4.99,5.9,6.7,7.833333333333334,7.74,10,7th and 8th grade,112.21,111.04,51.77,1.6,0.23519580876800905
76383839,76384284,0.8636363636363636,0.9099901088031652,4.7402173913043475,4.7824561403508765,5998,3.6,5.0,4.7402173913043475,0.46505513785296065,4.8,5.0,5.0,38.39,14.5,16.0,10.86,17.5,1.77,16.0,13.12,9,15th and 16th grade,77.59,75.07,37.71,3.8,-2.710876117122736
76378670,76378715,0.75,0.6890243902439024,4.990560471976401,4.977777777777778,959,4.733333333333333,5.0,4.990560471976401,0.035329333148271046,5.0,5.0,5.0,78.38,8.2,6.8,8.36,9.9,5.98,8.0,7.52,8,7th and 8th grade,110.28,106.56,45.94,1.9,-4.024364179474752
76378383,76378734,0.6949152542372882,0.8352941176470589,4.959624413145541,4.9658536585365844,1087,4.6,5.0,4.95962441314554,0.11326917446009567,5.0,5.0,5.0,56.49,11.5,11.1,13.12,16.1,7.41,8.0,11.96,21,11th and 12th grade,93.28,89.09,36.8,3.1,2.407339760023026
76380693,76380922,0.5294117647058824,0.34006376195536664,4.998958333333333,4.977777777777778,1971,4.866666666666666,5.0,4.998958333333333,0.011131708339493816,5.0,5.0,5.0,-195.17,3.1,118.2,-9.6,140.0,15.68,16.666666666666668,125.08,4,139th and 140th grade,-172.12,-168.61,-24.65,1.5,-76.62901869523155
76378708,76378750,0.7755102040816326,0.8017241379310345,4.989964157706094,4.982456140350877,613,4.733333333333333,5.0,4.989964157706094,0.04141607691943879,5.0,5.0,5.0,82.14,8.5,5.4,4.05,5.4,6.13,8.5,6.49,8,5th and 6th grade,114.05,113.39,53.5,1.4,-0.03210546222925892
76383859,76384297,0.8260869565217391,0.9898916967509025,4.939508874300997,4.9298245614035086,7106,4.466666666666667,5.0,4.939508874300997,0.09991057829347558,4.866666666666666,5.0,5.0,-112.48,28.9,78.1,7.8,97.0,9.93,10.666666666666666,79.28,9,78th and 79th grade,-79.03,-78.79,-14.01,3.4,-49.86861448638568
76380850,76380929,0.6470588235294118,0.6507177033492823,4.936764705882353,4.921212121212122,3809,3.2666666666666666,5.0,4.936764705882353,0.27043737506228316,5.0,5.0,5.0,44.64,12.5,11.5,14.73,17.4,1.67,13.0,7.71,11,12th and 13th grade,86.38,79.79,34.83,4.0,-1.2898522833465367
76380934,76380982,0.782608695652174,0.8536585365853658,4.973333333333334,4.977777777777778,221,4.733333333333333,5.0,4.973333333333334,0.06982972487551761,5.0,5.0,5.0,95.17,6.0,2.5,5.72,4.3,7.29,4.25,4.0,6,5th and 6th grade,124.64,120.52,50.72,0.5,-0.5749475718228112
76378592,76378760,0.8048780487804879,0.8421052631578947,4.961458333333333,4.935353535353536,425,4.466666666666667,5.0,4.961458333333334,0.11414214304736198,5.0,5.0,5.0,69.11,11.2,8.3,7.83,9.5,8.11,11.5,9.71,11,7th and 8th grade,103.46,100.12,46.56,2.4,2.8694400633269526
76383945,76384326,0.813953488372093,0.8118811881188119,4.924390243902439,4.923809523809524,597,3.8,5.0,4.924390243902439,0.20607631262638068,4.95,5.0,5.0,54.9,16.3,13.8,9.12,18.2,7.67,22.0,15.62,10,15th and 16th grade,89.18,84.48,40.44,3.0,-1.112121269542782
76380868,76380985,0.8461538461538461,0.8518518518518519,4.92463768115942,4.921212121212121,155,4.133333333333334,5.0,4.924637681159421,0.24420182341826707,5.0,5.0,5.0,90.46,7.2,2.2,6.38,5.1,6.48,2.625,2.52,1,2nd and 3rd grade,122.41,120.84,48.0,-0.5,0.8326749133328768
76380847,76380988,0.6666666666666666,0.6824249165739711,4.8842162455854385,4.855555555555555,9314,3.6,5.0,4.8842162455854385,0.3476260536656249,4.933333333333334,5.0,5.0,70.29,10.1,5.8,7.17,6.6,0.55,5.0,3.88,5,6th and 7th grade,107.15,105.48,48.49,1.7,-2.867352269781508
76384211,76384348,0.7192982456140351,0.8814249363867684,4.933833718244803,4.9073170731707325,11673,3.8,5.0,4.933833718244803,0.14082952334098925,5.0,5.0,5.0,61.16,12.0,9.3,11.02,11.8,1.15,10.833333333333334,7.61,21,11th and 12th grade,97.97,96.55,41.44,2.7,-0.048008903566437056
76378628,76378769,0.8043478260869565,0.8699186991869918,4.942056074766355,4.967567567567567,667,4.6,5.0,4.942056074766355,0.122651262797401,5.0,5.0,5.0,78.99,8.4,6.6,6.26,7.8,6.18,8.333333333333334,7.37,8,6th and 7th grade,110.89,107.21,49.15,1.9,0.1037319047619043
76378370,76378800,0.5714285714285714,0.36363636363636365,4.966666666666667,4.966666666666667,1116,4.733333333333333,5.0,4.966666666666667,0.08819171036881966,5.0,5.0,5.0,92.49,3.1,1.4,18.04,16.2,10.35,1.375,1.72,0,1st and 2nd grade,124.45,121.96,25.24,-2.0,-0.015965278365253965
76380967,76381059,0.8461538461538461,0.8160919540229885,4.959758551307847,4.957575757575758,3646,4.733333333333333,5.0,4.959758551307847,0.0755877768774983,4.933333333333334,5.0,5.0,63.36,10.1,6.4,7.79,5.5,0.47,4.666666666666667,3.33,3,5th and 6th grade,102.68,101.74,47.03,1.7,-2.8263476011639086
