,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6159174974110551
vocab_coverage,0.6276730962008032
ave_readability,4.924575985783803
ave_readability2,4.91909375260728
length,5014.421
min,4.141119221411192
max,4.999096280848105
mean,4.924575985783803
std,0.17068897707202677
q1,4.941553701772681
median,4.995933263816476
q3,4.998644421272159
FRE,30.47864
SMOGI,10.1713
FKGL,16.333
CLI,18.878010000000003
ARI,34.7102
DCRS,5.6871
LWF,9.627224966424135
GFI,12.99168
DW,16.784
TS,12.141
FH,72.91117
SP,61.35556
GP,19.18215
CF,3.588
NERF,1.278135908769913
