,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.018337569528319074,0.044182272111812894,0.03233879392753728,0.044039966741624983
vocab_coverage,0.02415222361460547,0.05923104177334871,0.04120403396059301,0.06370469216383831
ave_readability,0.003076107040735196,0.0035466836140851917,0.003773433864439224,0.007110631292514939
ave_readability2,0.002771061404065296,0.0033795287682829764,0.003162015030279913,0.0054070115131882816
length,6513301.835,6940694.505,2314944.142,2867604.815
min,0.6145599999999991,0.8068189964157702,0.3773606766307503,0.5045836232892609
max,0.0,0.0,0.0,0.0
mean,0.0030761070407352015,0.0035466836140852095,0.003773433864439225,0.0071106312925149585
std,0.012562704955549987,0.018143152663355467,0.010086321156039291,0.012935137795853811
q1,0.008373055555555545,0.008040154569892459,0.0119600857374581,0.014099396891672588
median,0.0008077777777777759,0.00042226702508960584,0.0037272621944154775,0.007257016933426118
q3,7.583333333333307e-05,4.6202956989246985e-05,4.634457189201682e-06,0.0043893528183716075
FRE,1868.433594200001,2320.9553352999997,1475.788209900002,1883.1892230999997
SMOGI,26.41524,61.853780000000036,14.221539999999992,17.149820000000002
FKGL,73.18932,59.188260000000064,72.84372999999994,73.72035000000001
CLI,145.98053869999995,200.28588730000018,144.5593144000002,188.48115980000009
ARI,219.9266599999999,223.08426000000017,198.32334999999966,230.7682199999999
DCRS,10.206429300000012,9.436072500000009,24.365335799999993,26.537090000000017
LWF,56.80874635830801,56.42555855496289,38.23405446452508,33.024837074853025
GFI,56.13865749999995,31.265421900000025,57.3262399,53.40899569999987
DW,1063.903,1293.141,483.727,678.145
TS,73.696,38.077,68.578,62.835
FH,1070.380204400001,1208.5059561999988,914.1520949999993,1081.5225970999998
SP,1115.7039179999995,1229.2866848999997,896.0774875999997,1079.3140206999976
GP,444.38661999999914,545.5799553999999,328.01015269999965,440.17313670000027
CF,5.348900000000003,8.540109999999997,15.318810000000008,16.533590000000025
NERF,15.284716411803009,35.716693518020854,19.039069584340503,31.701769952364735
