,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.019696745999443745,0.05212337341783414,0.016715123909372593,0.020844411625318943
vocab_coverage,0.025198822746388225,0.06805280772834504,0.0409062262337827,0.05005445803316349
ave_readability,0.0032762757680971787,0.004111161949657248,0.0025337713080686554,0.0026238590391892604
ave_readability2,0.002931357249192516,0.0037886421481471933,0.009332192332029478,0.009484437957065776
length,6380466.209,6682526.463,4397960.791,4482037.408
min,0.61772,0.8086648745519713,0.9600266666666667,0.9671688888888889
max,0.0,0.0,0.0,0.0
mean,0.0032762757680971817,0.004111161949657249,0.002533771308068648,0.0026238590391892526
std,0.013598371867181644,0.020055609479792662,0.012926069443115468,0.013580518918485308
q1,0.008088333333333341,0.0084655017921147,0.006040555555555571,0.006095277777777792
median,0.0008355555555555548,0.0004368279569892472,5.44444444444443e-05,5.44444444444443e-05
q3,7.583333333333305e-05,4.6202956989246985e-05,0.0,0.0
FRE,1967.6600193,2505.8721935999997,1374.1031845,1474.4724928
SMOGI,29.168599999999998,63.312180000000005,18.894879999999997,19.647590000000005
FKGL,76.85335,68.41363,36.827929999999995,39.04303
CLI,155.2700557,211.91829609999996,122.4060336,135.30445760000003
ARI,232.06499,247.81278999999998,142.33491999999998,154.54647
DCRS,10.1583059,10.2816753,3.7439020999999997,4.3133867
LWF,75.02402623015266,81.72409450528056,58.38452271059118,58.69471328319097
GFI,58.0087342,36.6918646,29.0145671,32.1530331
DW,1021.832,1201.86,1033.316,978.8
TS,76.643,42.422,31.074,30.855
FH,1125.2444166,1324.7850693999999,718.3121123000001,766.4363429
SP,1181.0125449000002,1343.1659404,760.8671842,812.6557509999999
GP,471.67378879999995,586.1673748,356.020906,389.18901099999994
CF,5.61927,8.94886,3.8157799999999997,4.0953800000000005
NERF,15.272458957847414,31.714532579413845,11.876695794815857,13.992050687604593
