,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.4874299047365487
vocab_coverage,0.4867723704245419
ave_readability,4.902600071611749
ave_readability2,4.899979982701623
length,3680.992
min,4.0934707903780065
max,4.997479954180985
mean,4.90260007161175
std,0.19553985285232486
q1,4.909812905689194
median,4.984879725085911
q3,4.996009927453227
FRE,34.06425
SMOGI,7.996
FKGL,13.9628
CLI,26.07522
ARI,38.555
DCRS,8.82198
LWF,8.542120438917713
GFI,11.3969
DW,16.15
TS,12.124
FH,77.70026000000001
SP,48.059
GP,0.8931499999999992
CF,3.8318999999999996
NERF,3.287188026511699
