,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6850693293245497
vocab_coverage,0.7147705258208703
ave_readability,4.919952029889988
ave_readability2,4.90750076355018
length,1181.735
min,3.9203999999999994
max,5.0
mean,4.919952029889988
std,0.19229446372525952
q1,4.943116666666667
median,4.999866666666667
q3,5.0
FRE,53.527120000000004
SMOGI,11.5223
FKGL,9.9498
CLI,13.03775
ARI,14.6317
DCRS,8.81334
LWF,10.053051764171501
GFI,9.70955
DW,27.963
TS,10.137
FH,93.09093000000001
SP,89.77338
GP,37.852940000000004
CF,3.1341000000000006
NERF,4.353701677477584
