,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.34507167075991874,0.03123183480783321,0.47449310592622,0.42995391606312616
vocab_coverage,0.414328533088654,0.06818781775954379,0.46101381132918784,0.3670755744371308
ave_readability,0.33584813201344094,0.14489742983960385,0.4444944877666881,0.41065449694604106
ave_readability2,0.21982376410130125,0.11439001772102396,0.46874778747735274,0.44082244827095335
length,0.20331662964776673,0.056111852808006554,-0.07634688701415854,-0.05762117466614925
min,0.20322299781888456,0.10666542282061989,0.41368360065076,0.40049841306082656
max,,,,
mean,0.33589907497807514,0.14524605486694284,0.4444068677127331,0.4105696473729676
std,0.3064443939757234,0.15193795605750574,0.4166963844931821,0.3878369971404066
q1,0.2632039464305018,0.08522671190608404,0.4090360241456197,0.34964796235104967
median,0.0472737590370219,-0.011675591444616133,-0.01074081518667468,-0.010205888039314642
q3,,,,
FRE,0.4227804518706151,0.06854654549478764,0.4604338085408614,0.39333969007064695
SMOGI,0.2745559648838505,0.0719778733300166,0.39193879252588654,0.33929065428601973
FKGL,0.383874427016929,0.06611174185783393,0.4115681740616785,0.368077188365086
CLI,0.47317885785446057,0.05893689007466869,0.4888718687560597,0.4021162402306748
ARI,0.35444417602391154,0.029674275844258538,0.3816987840436585,0.3335922138704835
DCRS,0.3221225237527889,0.06335199932027592,0.1651034786465922,0.15662382288366186
LWF,0.30043190427389826,0.08523003716030537,0.31293580477304334,0.2793608282608628
GFI,0.346821189436018,0.08984716406590001,0.3201190262686203,0.26870333000634716
DW,0.2623649857166233,0.11865496370294666,0.3848504240266963,0.3528249111557554
TS,0.2852983600314456,0.04520060228262305,0.2692275889719537,0.24553460308383823
FH,0.40966112842751395,0.06495005931607893,0.44579872725729114,0.38751784796614436
SP,0.4253785339567737,0.07317023458399322,0.4354136013007103,0.37387536204465793
GP,0.4461324467925549,0.04701173826078944,0.43624446207248063,0.3587398622860999
CF,0.44689430074791964,0.09384103699781103,0.4854420473211146,0.4176280270078184
NERF,0.24541893615519295,-0.00913147669295934,0.33770717134339057,0.30237801774191814
