,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.34492325629408344,0.031927929940396484,0.10980850036989971,0.08267025056913697
vocab_coverage,0.4138761537795672,0.06800376101624171,0.13186239469134212,0.11241384934931994
ave_readability,0.33692115407591355,0.14503283261680222,0.46996009564832636,0.4406336056990482
ave_readability2,0.2210216163220022,0.11432381946727715,0.35040403513613705,0.32386464711457846
length,0.20331662964776673,0.056111852808006554,0.10811774168274922,0.07330592187046436
min,0.20322299781888456,0.10666542282061989,0.3694673274434534,0.3410372203400805
max,,,,
mean,0.33696519804870084,0.14507815387641443,0.46986887184135573,0.44058492017753265
std,0.30656245518932695,0.15204799501153363,0.4587013253342621,0.41869543153526567
q1,0.28843540888926944,0.11302068507465421,0.3812304785603782,0.36000277254875096
median,0.0411559627577507,-0.012796453755033271,-0.01681461037722008,-0.01681461037722008
q3,,,,
FRE,0.4263204037423694,0.06606834824555957,0.22402160453888997,0.19833456343628905
SMOGI,0.2745559648838505,0.0719778733300166,0.14070442055309426,0.12133443733688268
FKGL,0.3860705819541602,0.0681144868945126,0.18104048121736116,0.1542556780699117
CLI,0.47374020159782043,0.05842559715104642,0.24604361009725706,0.22224586120654274
ARI,0.3543345830642611,0.02989232123401479,0.21787101764937808,0.17615574470321788
DCRS,0.32068443730248375,0.06385699616421191,0.13002108697100903,0.1147322880634039
LWF,0.29767466008309373,0.08503678363979279,0.016074067687652547,0.004836556116009393
GFI,0.3465328274040892,0.08937067256802553,0.08109602702497283,0.06519128612271406
DW,0.2629023949241971,0.11901915383436493,0.15257216119659947,0.12196357445219155
TS,0.27388156630115695,0.05265711041633851,0.12730065154758602,0.10135470401597682
FH,0.41311665711793893,0.0642251298613635,0.21247769828380245,0.18517871697836963
SP,0.4252145247472004,0.07316043238436509,0.15888277936394798,0.1272536705944515
GP,0.44617708613284085,0.046709179479978755,0.1625680266425741,0.1298086199608472
CF,0.4466861193396672,0.0929726822441577,0.23523214151102836,0.21153485433987818
NERF,0.24555492029158502,-0.00926569085012412,0.15841652006760898,0.12261694561633882
