,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.10201803937205502,0.1686709889546142,0.07824300739788805,0.11504986612035395
vocab_coverage,0.1186890198694308,0.20082260317036527,0.11182250770249885,0.17109854047996767
ave_readability,0.03775888471168736,0.04114335017773553,0.02651263833517436,0.029897987720177162
ave_readability2,0.038612459252055774,0.04204467926607671,0.025375899102315167,0.027408070100390928
length,1273.513,1462.263,807.631,904.414
min,0.5672,0.6954301075268816,0.41433333333333333,0.47386666666666666
max,0.0,0.0,0.0,0.0
mean,0.03775888471168732,0.04114335017773544,0.02651263833517437,0.029897987720177155
std,0.08279392402477956,0.0997869864667308,0.0631249379802067,0.07286480974716143
q1,0.05351666666666667,0.053713037634408586,0.03308333333333331,0.036749999999999956
median,0.004499999999999992,0.0027889784946236525,0.0005333333333333323,0.0005333333333333323
q3,0.000549999999999999,0.00038642473118279434,0.0,0.0
FRE,25.183580000000003,31.30369,16.63928,20.895220000000002
SMOGI,3.313,6.1484,1.6636,1.8939000000000001
FKGL,4.359,5.1512,2.8755,3.2579000000000002
CLI,7.015149999999999,9.289390000000001,4.731879999999999,6.56191
ARI,8.4346,10.378,5.432,6.926
DCRS,2.0793900000000005,2.03261,1.6866700000000001,1.9700700000000002
LWF,4.829290442701806,5.348958475223981,4.088488551928322,4.166885793575564
GFI,3.5047699999999997,3.95621,2.3216,2.80383
DW,20.715,25.203,13.019,15.428
TS,4.262,4.251,3.036,3.04
FH,18.578480000000003,22.808619999999998,12.22019,14.793479999999999
SP,18.885540000000002,23.07289,12.39766,15.11475
GP,12.187899999999999,15.3064,8.06582,10.80813
CF,1.3822,1.8459,0.8882000000000001,1.0941999999999998
NERF,2.9116540551247816,4.998088325281693,3.1831802292425384,4.496929062083201
