,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.34543628003000765,0.032326176606219996,0.3277317274503675,0.28433411858060076
vocab_coverage,0.41887899241028703,0.07135301624166532,0.3344167054734483,0.2854377630014499
ave_readability,0.3371873759048499,0.1450686004144584,0.36337883206523525,0.33119844115463365
ave_readability2,0.2195896646910401,0.11478690946748238,0.4052365830647405,0.3874243709665698
length,0.20331662964776673,0.056111852808006554,-0.01813914462058871,-0.004865448901189364
min,0.20307709654470923,0.10691918088844313,0.39527185138819476,0.3819494808846374
max,,,,
mean,0.3372707730903035,0.14517440646422733,0.36339562277291565,0.33120969601135225
std,0.30543621283748684,0.1514802399838029,0.3657586137470753,0.34292866536277
q1,0.2849419062433839,0.10435940320922431,0.3054401547318183,0.26422819248513535
median,0.03599713465958862,-0.013828764111056139,-0.01767922042269276,-0.017736503949233734
q3,,,,
FRE,0.42753735788760905,0.07111870609865872,0.3487978129992339,0.3147651235280217
SMOGI,0.2650309906890334,0.06780222024833282,0.34704695236989275,0.3330921313072526
FKGL,0.38717821908219846,0.07177723681600512,0.3254558875506904,0.29791211145761287
CLI,0.47234194457037826,0.05839750542973789,0.36825503846696517,0.31342962882552156
ARI,0.35220688125458754,0.025870335412644142,0.27339670597398896,0.24344654513312802
DCRS,0.32478908740171236,0.0631761113651378,0.05314219386220776,0.056913631460172316
LWF,0.30135965094685147,0.07940047095622464,0.31224063818253356,0.2675551885133906
GFI,0.3477660214736181,0.08523394177503286,0.2619277737652085,0.22864608740465894
DW,0.26142344985080795,0.11832340374469467,0.35337880602344646,0.3361150876272964
TS,0.27896932618583836,0.04789518082271578,0.22425269866401001,0.20078315603464797
FH,0.4146209079598439,0.07030903092237745,0.3405745682940787,0.30951741288263984
SP,0.42417886122915494,0.07180807550945881,0.3492282535503746,0.3052092099584925
GP,0.44354979855085125,0.044331334143020144,0.3234379344083785,0.2717986278970991
CF,0.4471954692668192,0.09386954175867059,0.4047539875636987,0.3611923499206106
NERF,0.24811129485562874,-0.0032010577484386698,0.214777549509854,0.20408411937445547
