,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.34543628003000765,0.032326176606219996,0.45755640938527664,0.20889202528621606
vocab_coverage,0.41887899241028703,0.07135301624166532,0.4548242819617764,0.23588740732875083
ave_readability,0.33720600953965923,0.14525436650341045,0.48454044581173256,0.32403853800052673
ave_readability2,0.2196651136818297,0.114848524436671,0.45007657404911067,0.32121741128944964
length,0.20331662964776673,0.056111852808006554,0.3326896734886138,0.03991460124988951
min,0.20307709654470923,0.10691918088844313,0.4249491837091406,0.2997940868729455
max,,,,
mean,0.3372825793038188,0.14519565834946851,0.4845900760713368,0.3240494479138314
std,0.30544113192671696,0.1514802399838029,0.5067253856155515,0.34721966114982583
q1,0.2849419062433839,0.10435940320922431,0.39723704113296426,0.2735827917251764
median,0.03599713465958862,-0.013828764111056139,-0.012028425176589969,-0.010921282190238078
q3,,,,
FRE,0.42753735788760905,0.07111870609865872,0.5553228799055728,0.30322445814825333
SMOGI,0.2650309906890334,0.06780222024833282,0.45185990246820357,0.26443269651770196
FKGL,0.38717821908219846,0.07177723681600512,0.49143177428586227,0.25854771434029494
CLI,0.47234194457037826,0.05839750542973789,0.6066576445311481,0.340573264590529
ARI,0.35220688125458754,0.025870335412644142,0.5043849157292518,0.2499333762054181
DCRS,0.32478908740171236,0.0631761113651378,0.37234305142683416,0.20105830488822207
LWF,0.30135965094685147,0.07940047095622464,0.3587292629273705,0.24797007598704293
GFI,0.3477660214736181,0.08523394177503286,0.4484800806712698,0.26872786538773075
DW,0.26142344985080795,0.11832340374469467,0.4074194045914139,0.1493646248785884
TS,0.27896932618583836,0.04789518082271578,0.35039522341831164,0.21746538854112432
FH,0.4146209079598439,0.07030903092237745,0.5333219812866913,0.28471748336322766
SP,0.42417886122915494,0.07180807550945881,0.5257660956326836,0.2657928593835255
GP,0.44354979855085125,0.044331334143020144,0.5449351523109321,0.27175239585822725
CF,0.4471954692668192,0.09386954175867059,0.5904445555125739,0.327776562019439
NERF,0.24811129485562874,-0.0032010577484386698,0.3798603166060709,0.0618738269274436
