,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.10679073723178904,0.18665249136806233,0.10183421960497775,0.11625350100382528
vocab_coverage,0.12215125573122956,0.21842114425362819,0.15985535818142682,0.18279989998316887
ave_readability,0.03948288983909218,0.044813063662633434,0.03865711537613713,0.039159439992340325
ave_readability2,0.03993179100768945,0.045215677780939906,0.06473059940922027,0.06471716519131329
length,1235.017,1386.241,934.75,944.889
min,0.569,0.6967741935483871,0.5221999999999999,0.5363333333333332
max,0.0,0.0,0.0,0.0
mean,0.03948288983909211,0.04481306366263345,0.038657115376137155,0.03915943999234038
std,0.08605892419422001,0.1053691839848429,0.07988944570357288,0.08225892053033518
q1,0.053633333333333345,0.05762768817204301,0.0535833333333334,0.052933333333333395
median,0.004799999999999992,0.0030241935483870924,0.0007666666666666648,0.0007666666666666648
q3,0.000549999999999999,0.00038642473118279434,0.0,0.0
FRE,26.08137,32.255199999999995,25.569390000000002,26.04149
SMOGI,3.5101999999999998,6.1996,3.9757000000000002,4.0816
FKGL,4.597899999999999,5.4825,4.6914,4.833399999999999
CLI,7.29367,9.412049999999999,6.63222,6.8812999999999995
ARI,8.839900000000002,10.8549,7.5781,7.8309999999999995
DCRS,2.10219,2.1403499999999998,1.4986700000000002,1.56386
LWF,5.444408100731771,6.100095073300826,5.51653165754991,5.677723532341784
GFI,3.6550199999999995,4.14356,5.024430000000001,5.3590100000000005
DW,19.856,23.558,20.795,20.128
TS,4.427,4.46,4.622,4.686
FH,19.34288,23.72074,19.1294,19.479770000000002
SP,19.803549999999998,24.13538,19.54376,19.917540000000002
GP,12.64064,15.725439999999999,11.321810000000001,11.699080000000002
CF,1.4307,1.89,1.45,1.4669
NERF,2.820566356759218,4.482677909896884,2.6245769171224818,2.9822237975172876
