QuestionId,AnswerId,vocab_ratios,vocab_coverage,ave_readability,ave_readability2,length,min,max,mean,std,q1,median,q3,FRE,SMOGI,FKGL,CLI,ARI,DCRS,LWF,GFI,DW,TS,FH,SP,GP,CF,NERF
76378346,76378431,0.6842105263157895,0.6842105263157895,4.912820512820513,4.912820512820513,140,4.733333333333333,5.0,4.912820512820513,0.12092129356463173,4.733333333333333,5.0,5.0,29.86,0.0,13.1,16.88,20.2,14.3,13.0,16.4,7,12th and 13th grade,76.52,74.02,32.01,4.5,4.3016948
76378408,76378435,0.9375,0.9545454545454546,4.9714285714285715,4.96,123,4.733333333333333,5.0,4.9714285714285715,0.07853534524986018,5.0,5.0,5.0,94.15,0.0,2.9,3.69,3.3,6.34,5.25,6.22,2,2nd and 3rd grade,123.62,119.38,54.31,0.7,0.9722582677164828
76378340,76378439,0.0,0.0,NaN,NaN,2517,,,,,,,,206.84,0.0,-15.7,-15.81,0.0,0.0,-1.0,0.0,0,-1th and 0th grade,206.84,0.0,0.0,0.0,-3.0233
76378344,76378496,0.0,0.0,NaN,NaN,2517,,,,,,,,206.84,0.0,-15.7,-15.81,0.0,0.0,-1.0,0.0,0,-1th and 0th grade,206.84,0.0,0.0,0.0,-3.0233
76378323,76378505,0.0,0.0,NaN,NaN,3,,,,,,,,206.84,0.0,-15.7,-15.81,0.0,0.0,-1.0,0.0,0,-1th and 0th grade,206.84,0.0,0.0,0.0,-3.0233
76378468,76378523,0.8285714285714286,0.8483965014577259,4.973310423825888,4.974712643678161,3706,4.733333333333333,5.0,4.973310423825888,0.07236367843758205,5.0,5.0,5.0,94.56,6.7,2.7,4.5,3.5,0.73,4.4,4.3,4,4th and 5th grade,124.03,120.0,53.12,0.7,-1.9562067506342178
76378419,76378558,0.6842105263157895,0.7083333333333334,4.890196078431373,4.938461538461539,167,4.466666666666667,5.0,4.890196078431373,0.19926817279862744,4.933333333333334,5.0,5.0,19.37,0.0,15.0,22.39,24.4,13.3,13.0,13.87,4,12th and 13th grade,68.48,64.24,22.08,5.3,2.7851197200504725
76383950,76384028,0.696969696969697,0.6938775510204082,4.896078431372549,4.921739130434783,317,3.4,5.0,4.89607843137255,0.37510475276629895,5.0,5.0,5.0,35.95,11.2,10.7,15.46,14.9,9.26,6.375,7.0,9,10th and 11th grade,82.64,81.58,34.47,3.6,3.7477176075191574
76380624,76380646,0.4878048780487805,0.4657534246575342,4.903921568627451,4.903333333333334,3081,4.466666666666667,5.0,4.90392156862745,0.1772640115653265,4.933333333333334,5.0,5.0,-70.39,11.5,24.7,40.31,38.3,12.73,4.357142857142857,9.67,16,12th and 13th grade,8.31,2.43,-8.8,9.0,3.8039115399999988
76380600,76380785,0.6818181818181818,0.72,4.981481481481482,4.977777777777777,159,4.733333333333333,5.0,4.981481481481482,0.062085387460148904,5.0,5.0,5.0,37.3,0.0,12.3,21.98,24.2,12.84,11.5,9.15,4,11th and 12th grade,81.5,76.23,23.06,4.3,1.855957889233621
