,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.0183021658140424,0.0430661015538707,0.04364457757168941,0.06069179056736867
vocab_coverage,0.024151644244843163,0.05844893437870582,0.048944164917984756,0.07319404747242454
ave_readability,0.003036515535944851,0.003538154669977896,0.004191016692830203,0.003759873691564237
ave_readability2,0.002703156850151042,0.003358981936584785,0.0027679247754855067,0.00245346948049764
length,6521982.479,6956971.053,24088817.809,18673163.075
min,0.61456,0.8068189964157706,0.5765312791783381,0.6963793103448276
max,0.0,0.0,0.0004668534080298791,0.000186781609195402
mean,0.003036515535944849,0.0035381546699778865,0.004191016692830208,0.0037598736915642333
std,0.012484671683655933,0.017975583095998844,0.015390631411527309,0.017895940809113327
q1,0.007689166666666674,0.007736335125448034,0.012366071428571435,0.00903406369731801
median,0.0008122222222222214,0.00042674731182795695,0.0010410830999066293,0.0005854885057471256
q3,7.583333333333305e-05,4.6202956989246985e-05,0.0005307539682539687,0.00026460727969348613
FRE,1866.7714674000001,2304.9543199,11817.652314199999,13438.060889999999
SMOGI,26.415239999999997,61.85378000000001,23.52202,35.06358
FKGL,73.08042,59.03482000000001,1390.8657799999999,1522.25304
CLI,145.3586796,199.05134239999998,344.7126311999999,422.18211859999997
ARI,219.31806,222.17128,2459.3808,2675.91537
DCRS,10.0381601,9.533164300000001,57.2788453,62.75796209999999
LWF,56.92100286916948,56.45665412173089,70.10087107839563,83.47462174131614
GFI,56.081009300000005,31.282035700000005,1409.8984509999998,1524.8914479
DW,1086.572,1335.572,773.921,963.075
TS,72.759,36.182,656.263,754.085
FH,1069.1789931,1201.4244149,10506.435739800001,11723.6950267
SP,1113.7845249999998,1218.3118075000002,9967.534507100001,11057.6312948
GP,442.67833830000006,542.2180357,1937.2187544999997,2223.4586601
CF,5.320819999999999,8.46301,6.1980900000000005,9.517120000000002
NERF,15.600087092714562,36.61644056659991,245.13228950451185,258.6711634246198
