,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.10185658262541628,0.16584300870579288,0.2705635567245375,0.27292775349206505
vocab_coverage,0.11866348184282406,0.19912542435224806,0.280868517439793,0.284521153702171
ave_readability,0.0374561632857309,0.04117640459361218,0.04094136005059586,0.04104147574572764
ave_readability2,0.03807432522229076,0.04203732214719753,0.03821730277857158,0.038238752774251226
length,1276.129,1466.969,3743.874,3650.777
min,0.5672,0.6954301075268815,0.5566666666666661,0.566295264623955
max,0.0,0.0,0.001666666666666662,0.0016713091922005523
mean,0.03745616328573085,0.041176404593612194,0.04094136005059694,0.04104147574572869
std,0.08254094395940258,0.09926191417493833,0.09346931633690049,0.09494414303547642
q1,0.051349999999999896,0.054267473118279265,0.049675925925925804,0.0492107706592385
median,0.004566666666666658,0.002856182795698921,0.008981481481481465,0.008913649025069623
q3,0.000549999999999999,0.00038642473118279434,0.0033796296296296226,0.003458681522748368
FRE,25.16053999999997,31.160549999999997,123.34106000000014,124.10523000000009
SMOGI,3.312999999999999,6.14839999999999,6.3734,6.459700000000002
FKGL,4.362800000000005,5.146999999999993,25.887500000000006,25.963300000000007
CLI,7.001000000000013,9.265040000000003,29.167580000000054,30.118130000000058
ARI,8.420799999999998,10.3648,43.723600000000076,44.404000000000096
DCRS,2.0601099999999986,2.04985,9.33207,9.362200000000001
LWF,4.85848357289855,5.358696627065737,8.81657915156739,8.82232727566551
GFI,3.5041500000000005,3.9548900000000047,16.57375,16.538600000000002
DW,21.168,25.9,25.076,25.258
TS,4.221,4.208,14.843,14.8
FH,18.584090000000003,22.734089999999952,97.83031000000001,98.32894999999999
SP,18.87539999999999,22.944210000000016,88.01979000000007,88.48355000000012
GP,12.16270999999999,15.267310000000007,52.089650000000006,53.60710000000001
CF,1.3781999999999988,1.8360999999999985,3.9906999999999977,4.021099999999995
NERF,2.950891558618362,5.081429560614867,20.170616329521938,20.247825403155623
