,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.34492325629408344,0.031927929940396484,0.32493981803050104,0.19304805451180831
vocab_coverage,0.4138761537795672,0.06800376101624171,0.3773596362431096,0.23576311376297526
ave_readability,0.33692242911097664,0.14500715134899672,0.35773948421059254,0.2722779338952415
ave_readability2,0.2211526202451901,0.11450164861372218,0.30541417871093773,0.2581055419964449
length,0.20331662964776673,0.056111852808006554,0.02313044293167283,-0.03208229586072293
min,0.20322299781888456,0.10666542282061989,0.2580240143985291,0.17900120670904457
max,,,,
mean,0.3369197805045026,0.14504643351644225,0.3577334006180571,0.27231221628237884
std,0.3065574941034134,0.15204799501153363,0.299295842303471,0.23376035539671097
q1,0.28843540888926944,0.11302068507465421,0.346397863356699,0.2572165994343501
median,0.0411559627577507,-0.012796453755033271,0.12622644518883064,-0.011732514289073265
q3,,,,
FRE,0.4263204037423694,0.06606834824555957,0.4384865105787607,0.28627537478898485
SMOGI,0.2745559648838505,0.0719778733300166,0.40014308885412814,0.24682181614530457
FKGL,0.3860705819541602,0.0681144868945126,0.3842756376395881,0.22658790737179016
CLI,0.47374020159782043,0.05842559715104642,0.46381009542131585,0.3702436913054348
ARI,0.3543345830642611,0.02989232123401479,0.3219820218214743,0.22107567962964123
DCRS,0.32068443730248375,0.06385699616421191,0.10098777285929722,0.06582073787029305
LWF,0.29767466008309373,0.08503678363979279,0.2642708622516922,0.11097132935831902
GFI,0.3465328274040892,0.08937067256802553,0.2953818236614707,0.17208885626318635
DW,0.2629023949241971,0.11901915383436493,0.2907763300832404,0.19343197790710084
TS,0.27388156630115695,0.05265711041633851,0.26925881485404357,0.18461889571831025
FH,0.41311665711793893,0.0642251298613635,0.4180139690270455,0.26482949590875776
SP,0.4252145247472004,0.07316043238436509,0.4050792332049163,0.2295106309087359
GP,0.44617708613284085,0.046709179479978755,0.38623758211708914,0.22150776275488424
CF,0.4466861193396672,0.0929726822441577,0.4982542737605185,0.3681847498403165
NERF,0.24555492029158502,-0.00926569085012412,0.24004704741969926,0.15254688300762523
