QuestionId,AnswerId,vocab_ratios,vocab_coverage,ave_readability,ave_readability2,length,min,max,mean,std,q1,median,q3,FRE,SMOGI,FKGL,CLI,ARI,DCRS,LWF,GFI,DW,TS,FH,SP,GP,CF,NERF
76378346,76378431,0.8780487804878049,0.8518518518518519,4.910144927536232,4.894444444444444,520,4.0,5.0,4.910144927536232,0.19356011585165275,4.933333333333334,5.0,5.0,50.87,14.2,11.2,12.24,13.9,8.15,14.0,11.58,16,13th and 14th grade,90.13,85.83,38.77,3.5,2.6779855505250865
76378408,76378435,0.7818181818181819,0.8118811881188119,4.978048780487805,4.965891472868217,520,4.533333333333333,5.0,4.978048780487805,0.07141988370534977,5.0,5.0,5.0,79.9,8.8,6.3,5.45,6.5,6.99,8.333333333333334,8.68,11,6th and 7th grade,111.81,111.05,50.86,1.6,2.0265307147162783
76378340,76378439,0.7906976744186046,0.8571428571428571,4.985858585858587,4.980392156862746,414,4.866666666666666,5.0,4.985858585858586,0.037632193959994356,5.0,5.0,5.0,63.02,11.2,10.7,7.78,12.2,7.61,14.5,12.67,10,7th and 8th grade,97.34,97.11,45.06,2.4,-1.1194594626289973
76378344,76378496,0.8153846153846154,0.8814814814814815,4.952380952380952,4.962264150943396,757,4.266666666666667,5.0,4.952380952380952,0.11696212516090641,4.966666666666667,5.0,5.0,68.81,9.2,8.5,7.89,9.7,7.52,11.2,9.5,20,7th and 8th grade,103.15,102.64,46.34,2.2,1.529969203790115
76378323,76378505,0.8,0.7575757575757576,4.954666666666668,4.934615384615385,1041,3.733333333333333,5.0,4.954666666666667,0.17045820602130007,5.0,5.0,5.0,59.13,10.1,10.1,11.6,13.9,6.87,14.5,9.66,17,9th and 10th grade,95.93,92.89,39.76,2.9,1.785387986428339
76378468,76378523,0.8305084745762712,0.8436018957345972,4.965168539325843,4.960544217687075,1169,4.6,5.0,4.965168539325842,0.08063575604251566,5.0,5.0,5.0,80.51,7.6,6.0,7.77,7.9,5.64,10.8,6.82,11,7th and 8th grade,112.42,110.27,47.2,1.6,0.27651844799773784
76378419,76378558,0.6307692307692307,0.8091286307053942,4.895555555555555,4.868292682926829,3009,3.8,5.0,4.895555555555557,0.2820714315517015,5.0,5.0,5.0,61.43,9.8,7.2,14.13,13.4,5.52,6.75,4.56,23,6th and 7th grade,100.74,99.14,36.75,2.2,-0.05440132445239598
76383950,76384028,0.6511627906976745,0.7666666666666667,4.970048309178745,4.950000000000001,548,4.6,5.0,4.970048309178746,0.07045856870919628,5.0,5.0,5.0,62.68,9.4,8.7,11.31,12.6,8.57,8.7,9.62,19,8th and 9th grade,99.5,94.55,40.98,2.9,0.8165148229266395
76380624,76380646,0.6857142857142857,0.6711409395973155,4.94,4.915277777777777,807,4.466666666666667,5.0,4.940000000000001,0.1270170592217177,5.0,5.0,5.0,66.54,10.1,7.3,9.96,9.1,8.0,6.75,7.7,19,7th and 8th grade,103.38,98.77,43.55,2.5,2.894630823640351
76380600,76380785,0.8214285714285714,0.8,4.963888888888889,4.96231884057971,185,4.533333333333333,5.0,4.9638888888888895,0.09809135323894215,5.0,5.0,5.0,70.5,10.5,5.7,9.31,9.1,9.17,5.333333333333333,9.43,7,8th and 9th grade,107.35,104.05,44.47,1.7,2.5812001702503347
76378487,76378586,0.7837837837837838,0.8245614035087719,4.887943262411348,4.86896551724138,289,3.6666666666666665,5.0,4.887943262411347,0.3069275433639163,4.966666666666667,5.0,5.0,67.93,0.0,10.9,5.81,11.8,8.37,16.75,12.8,5,10th and 11th grade,99.77,97.45,47.11,2.2,-0.22247954647660606
76380579,76380826,0.851063829787234,0.8253968253968254,4.928205128205128,4.914999999999999,369,3.333333333333333,5.0,4.928205128205128,0.24243993135533987,5.0,5.0,5.0,72.87,10.7,6.9,9.21,9.7,8.54,8.375,8.74,11,8th and 9th grade,107.23,101.71,44.54,2.3,3.3269309501648294
76383957,76384041,0.76,0.7570093457943925,4.987654320987655,4.985964912280703,587,4.8,5.0,4.987654320987655,0.03645635323514416,5.0,5.0,5.0,75.1,9.5,6.0,6.66,6.5,7.14,6.5,7.14,16,6th and 7th grade,109.48,105.9,49.13,1.9,0.7483811605757866
