,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.019696745999443745,0.05212337341783414,0.013706425616919597,0.018967230044274436
vocab_coverage,0.025198822746388225,0.06805280772834504,0.03189792997155408,0.04874120161440966
ave_readability,0.0032762757680971865,0.004111161949657252,0.002740279856575342,0.002969169512401184
ave_readability2,0.0029313572491925124,0.0037886421481471938,0.011671303331489025,0.012396176145896616
length,6380466.209,6682526.463,5646504.831,4982099.6
min,0.61772,0.8086648745519713,1.117648888888889,1.1151688888888889
max,0.0,0.0,0.0,0.0
mean,0.0032762757680971817,0.004111161949657249,0.0027402798565753167,0.0029691695124011556
std,0.013598371867181644,0.020055609479792662,0.012660539899429255,0.014254149562827731
q1,0.008088333333333341,0.0084655017921147,0.006336666666666685,0.006666111111111131
median,0.0008355555555555548,0.0004368279569892472,5.44444444444443e-05,5.44444444444443e-05
q3,7.583333333333305e-05,4.6202956989246985e-05,0.0,0.0
FRE,1967.6600193,2505.8721935999997,1356.7205021000002,1464.7585825
SMOGI,29.168599999999998,63.312180000000005,25.216800000000003,28.6197
FKGL,76.85335,68.41363,40.46336,43.836479999999995
CLI,155.2700557,211.91829609999996,112.629846,131.47345819999998
ARI,232.06499,247.81278999999998,127.10897,138.22208
DCRS,10.1583059,10.2816753,3.5204684,3.8792510999999994
LWF,75.02402623015266,81.72409450528056,91.81402904654793,92.92916374165992
GFI,58.0087342,36.6918646,34.5830432,46.97733710000001
DW,1021.832,1201.86,3532.683,2793.879
TS,76.643,42.422,35.128,38.245
FH,1125.2444166,1324.7850693999999,728.5204378000001,779.9291237
SP,1181.0125449000002,1343.1659404,767.8042087,824.0204552000001
GP,471.67378879999995,586.1673748,327.567515,368.750583
CF,5.61927,8.94886,3.9573600000000004,4.2760299999999996
NERF,15.272458957847414,31.714532579413845,11.867837974230271,12.695325665526646
