,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6440984359727838
vocab_coverage,0.6869082115070837
ave_readability,4.929717263347779
ave_readability2,4.916564548064546
length,3648.545
min,4.047548500881835
max,5.0
mean,4.929717263347779
std,0.17114591547464064
q1,4.951428571428572
median,4.99636684303351
q3,4.998377425044091
FRE,39.68611
SMOGI,9.4774
FKGL,13.1528
CLI,19.69678
ARI,25.542199999999998
DCRS,5.86134
LWF,9.435310165994526
GFI,10.24149
DW,16.829
TS,11.599
FH,81.72844
SP,66.85675
GP,19.466279999999998
CF,3.735
NERF,0.3924749843594467
