,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.10185658262541611,0.16584300870579277,0.07142963046627378,0.10343028241777805
vocab_coverage,0.118663481842824,0.19912542435224823,0.1168029611530023,0.16939632889573358
ave_readability,0.037456163285730884,0.04117640459361214,0.028043161926892473,0.03162693923395959
ave_readability2,0.038074325222290754,0.042037322147197555,0.028747125259408122,0.030295197227729633
length,1276.129,1466.969,2332.179,2183.647
min,0.5672,0.6954301075268816,0.3898666666666667,0.4561227894561228
max,0.0,0.0,0.0,0.0
mean,0.037456163285730835,0.04117640459361205,0.02804316192689241,0.031626939233959525
std,0.08254094395940272,0.09926191417493842,0.060470824137794386,0.07095730525049668
q1,0.05135000000000001,0.05426747311827956,0.040950000000000014,0.04456122789456123
median,0.004566666666666658,0.002856182795698921,0.0033333333333333288,0.0034034034034033994
q3,0.000549999999999999,0.00038642473118279434,0.0005333333333333314,0.0006006006006005985
FRE,25.16054,31.160550000000004,19.6132,23.95615
SMOGI,3.313,6.1484,1.878,2.1405
FKGL,4.362799999999999,5.147,3.4642,4.0476
CLI,7.001,9.265039999999999,5.60561,7.1650100000000005
ARI,8.4208,10.364799999999999,6.7174,8.3325
DCRS,2.06011,2.0498499999999997,2.44824,2.72687
LWF,4.858483572898549,5.358696627065745,4.367525321105623,3.9830765298427058
GFI,3.5041499999999997,3.95489,2.6868600000000002,3.1115
DW,21.168,25.9,19.078,19.899
TS,4.221,4.208,3.498,3.426
FH,18.584090000000003,22.734090000000002,14.5268,17.54946
SP,18.875400000000003,22.944209999999998,14.60665,17.752650000000003
GP,12.162709999999999,15.26731,9.59065,12.20828
CF,1.3781999999999999,1.8360999999999998,1.0547999999999997,1.2565
NERF,2.9508915586183626,5.081429560614864,3.450389117642022,4.466686676694387
